"0","Period End Date","8/31/2017","11/30/2017","2/28/2018","5/31/2018"
"0","Stmt Source","NA","10-Q","10-Q","10-Q"
"0","Stmt Source Date","-","1/9/2018","4/9/2018","7/10/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","6.3","7.1","7.4","8.6"
"0","Cost of Revenue","2.0","1.7","2.1","2.0"
"0","Gross Profit","4.3","5.3","5.2","6.5"
"0","Selling,General and Administrative","2.4","2.4","2.3","2.6"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","0.4","0.4","0.5","0.5"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","2.8","2.8","2.8","3.1"
"0","Operating Income","1.4","2.6","2.4","3.4"
"0","Net Interest Income","0.0","0.0","0.0","0.0"
"0","Other Income/Expense,Net","0.0","0.0","0.0","0.0"
"0","Pre-Tax Income","1.4","2.5","2.4","3.4"
"0","Provision for Income Tax","0.3","0.8","-1.1","1.0"
"0","Net Income","1.2","1.7","3.5","2.4"
"0","Dividend Per Share","0.05","0.06","0.06","0.06"
"0","Tax Rate","0.30","0.30","0.10","0.10"
"0","Basic EPS","0.07","0.10","0.20","0.14"
"1","Basic Weighted Average Shares","17.26","17.28","17.30","17.34"
"1","Basic EPS from Continuing Operations","0.07","0.10","0.20","0.14"
"1","Basic EPS,Continuing and Discontinued","-","0.00","-","-"
"0","Diluted EPS","0.06","0.10","0.19","0.13"
"1","Diluted Weighted Average Shares","17.70","17.86","17.86","17.90"
"1","Diluted EPS from Continuing Operations","0.06","0.10","0.19","0.13"
"1","Diluted EPS,Continuing and Discontinued","-","0.00","-","-"
