"0","Period End Date","9/30/2014","9/30/2015","9/30/2016","9/30/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","12/10/2015","12/22/2016","1/12/2018","1/12/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","35.8","36.5","38.0","36.0"
"0","Cost of Revenue","10.3","10.6","10.0","9.9"
"0","Gross Profit","25.6","25.8","28.0","26.1"
"0","Selling,General and Administrative","22.6","23.7","23.4","22.9"
"1","General and Administrative Expense","6.1","5.6","5.6","5.9"
"1","Selling and Marketing Expense","16.6","18.0","17.8","16.9"
"0","Research and Development","5.5","6.3","6.8","7.2"
"0","Special Income/Charges","-0.3","0.0","-0.2","-0.7"
"0","Operating Expenses","28.1","29.9","30.3","30.1"
"0","Operating Income","-2.6","-4.1","-2.3","-4.0"
"0","Net Interest Income","-0.2","-0.4","-0.6","-0.5"
"0","Other Income/Expense,Net","1.1","0.0","-0.2","-0.7"
"0","Pre-Tax Income","-1.7","-4.4","-3.0","-5.1"
"0","Provision for Income Tax","1.1","0.1","0.3","-0.1"
"0","Net Income","-2.8","-4.5","-3.3","-5.0"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.35","0.02","0.09","0.02"
"0","Basic EPS","-0.67","-1.04","-0.76","-1.17"
"1","Basic Weighted Average Shares","4.17","4.33","4.39","4.44"
"1","Basic EPS from Continuing Operations","-0.67","-1.04","-0.76","-1.17"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","-0.67","-1.04","-0.76","-1.17"
"1","Diluted Weighted Average Shares","4.17","4.33","4.39","4.44"
"1","Diluted EPS from Continuing Operations","-0.67","-1.04","-0.76","-1.17"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
