"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/14/2017","-","5/10/2018","8/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","36.3","46.0","32.9","35.9"
"0","Cost of Revenue","17.6","25.4","15.2","18.3"
"0","Gross Profit","18.6","20.6","17.7","17.7"
"0","Selling,General and Administrative","10.7","10.9","11.0","11.2"
"1","General and Administrative Expense","4.5","5.0","5.0","4.3"
"1","Selling and Marketing Expense","6.2","5.9","5.9","6.9"
"0","Research and Development","6.7","6.7","6.7","6.1"
"0","Special Income/Charges","0.1","-0.2","-","-"
"0","Operating Expenses","20.0","20.4","20.1","19.7"
"0","Operating Income","-1.4","0.2","-2.4","-2.1"
"0","Net Interest Income","-0.1","-0.1","-0.1","-0.1"
"0","Other Income/Expense,Net","2.0","-0.1","0.1","-0.1"
"0","Pre-Tax Income","0.5","0.0","-2.4","-2.3"
"0","Provision for Income Tax","0.2","0.1","0.0","0.3"
"0","Net Income","0.3","-0.1","-2.4","-2.6"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.13","0.13","0.14","0.16"
"0","Basic EPS","0.01","0.00","-0.06","-0.07"
"1","Basic Weighted Average Shares","38.47","38.75","38.79","38.82"
"1","Basic EPS from Continuing Operations","0.01","0.00","-0.06","-0.07"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.01","0.00","-0.06","-0.07"
"1","Diluted Weighted Average Shares","39.94","38.75","38.79","38.82"
"1","Diluted EPS from Continuing Operations","0.01","0.00","-0.06","-0.07"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
