"0","Period End Date","10/1/2017","12/31/2017","4/1/2018","7/1/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/9/2017","-","5/9/2018","8/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","285.2","284.0","271.6","303.1"
"0","Cost of Revenue","235.8","232.0","227.0","178.9"
"0","Gross Profit","49.4","52.0","44.6","124.2"
"0","Selling,General and Administrative","26.4","27.3","27.4","48.3"
"1","General and Administrative Expense","14.7","15.7","16.1","35.9"
"1","Selling and Marketing Expense","11.7","11.7","11.3","12.4"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-0.7","-0.8","-","-2.9"
"0","Operating Expenses","40.0","41.3","41.7","107.5"
"0","Operating Income","9.3","10.7","3.0","16.7"
"0","Net Interest Income","-5.9","-5.9","-5.9","-5.9"
"0","Other Income/Expense,Net","-0.7","-0.8","0.0","-2.7"
"0","Pre-Tax Income","2.7","3.9","-3.2","8.1"
"0","Provision for Income Tax","0.0","0.0","-0.1","0.3"
"0","Net Income","2.8","3.9","-3.1","7.8"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.40","0.08","0.21","0.01"
"0","Basic EPS","0.06","0.09","-0.09","0.17"
"1","Basic Weighted Average Shares","35.43","35.43","35.67","35.72"
"1","Basic EPS from Continuing Operations","0.06","0.09","-0.09","0.17"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.06","0.09","-0.09","0.17"
"1","Diluted Weighted Average Shares","44.94","45.01","35.67","45.20"
"1","Diluted EPS from Continuing Operations","0.06","0.09","-0.09","0.17"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
