"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/7/2017","-","5/7/2018","8/6/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","28.3","34.9","26.8","34.1"
"0","Cost of Revenue","7.5","8.8","7.3","9.6"
"0","Gross Profit","20.8","26.1","19.5","24.5"
"0","Selling,General and Administrative","18.5","19.8","19.9","21.9"
"1","General and Administrative Expense","7.6","7.1","7.4","7.5"
"1","Selling and Marketing Expense","10.9","12.7","12.6","14.5"
"0","Research and Development","1.1","1.4","1.4","1.3"
"0","Special Income/Charges","0.1","0.1","-","-"
"0","Operating Expenses","19.6","21.1","21.4","23.2"
"0","Operating Income","1.2","4.9","-1.8","1.3"
"0","Net Interest Income","-","-","-","-"
"0","Other Income/Expense,Net","0.1","0.1","0.1","0.1"
"0","Pre-Tax Income","1.3","5.0","-1.7","1.4"
"0","Provision for Income Tax","-0.1","2.8","-1.7","-1.1"
"0","Net Income","1.3","2.2","-0.1","2.6"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.40","0.40","0.37","0.02"
"0","Basic EPS","0.08","0.13","0.00","0.14"
"1","Basic Weighted Average Shares","17.60","17.75","18.00","18.16"
"1","Basic EPS from Continuing Operations","0.08","0.13","0.00","0.14"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.07","0.12","0.00","0.13"
"1","Diluted Weighted Average Shares","19.08","19.06","18.00","19.31"
"1","Diluted EPS from Continuing Operations","0.07","0.12","0.00","0.13"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
