"0","Period End Date","9/24/2017","12/31/2017","4/1/2018","7/1/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/3/2017","-","5/10/2018","8/10/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","353.1","435.0","355.6","253.0"
"0","Cost of Revenue","156.0","181.7","152.6","98.6"
"0","Gross Profit","197.1","253.3","203.0","154.4"
"0","Selling,General and Administrative","111.1","127.7","144.5","106.5"
"1","General and Administrative Expense","-","-","144.5","106.5"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","0.0","-","-7.7"
"0","Operating Expenses","190.9","223.9","221.8","155.7"
"0","Operating Income","6.3","29.4","-18.8","-1.2"
"0","Net Interest Income","-6.5","-7.1","-6.6","-5.4"
"0","Other Income/Expense,Net","5.0","-0.6","3.7","-4.7"
"0","Pre-Tax Income","4.7","21.7","-21.7","-11.3"
"0","Provision for Income Tax","2.6","22.1","-7.2","3.8"
"0","Net Income","2.1","-0.4","-14.8","265.0"
"0","Dividend Per Share","0.00","0.00","0.00","0.00"
"0","Tax Rate","0.40","0.40","0.27","0.27"
"0","Basic EPS","0.06","-0.01","-0.42","7.51"
"1","Basic Weighted Average Shares","33.24","33.61","34.80","35.29"
"1","Basic EPS from Continuing Operations","0.06","-0.01","-0.42","-0.44"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","7.95"
"0","Diluted EPS","0.06","-0.01","-0.42","7.51"
"1","Diluted Weighted Average Shares","33.41","34.14","34.80","35.29"
"1","Diluted EPS from Continuing Operations","0.06","-0.01","-0.42","-0.44"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","7.95"
