"0","Period End Date","9/28/2014","9/27/2015","10/2/2016","10/1/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","11/22/2016","11/20/2017","11/20/2017","11/20/2017"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","2,483.8","2,299.3","2,583.5","2,753.4"
"0","Cost of Revenue","2,201.4","1,983.5","2,253.3","2,399.7"
"0","Gross Profit","282.4","315.8","330.2","353.6"
"0","Selling,General and Administrative","187.3","170.5","172.0","177.2"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","58.7","-57.7","-22.4","6.9"
"0","Operating Expenses","187.3","170.5","172.0","177.2"
"0","Operating Income","95.1","145.3","158.2","176.4"
"0","Net Interest Income","-9.5","-7.4","-11.4","-11.6"
"0","Other Income/Expense,Net","58.7","-57.7","-22.4","6.9"
"0","Pre-Tax Income","144.3","80.3","124.5","171.8"
"0","Provision for Income Tax","35.7","41.1","40.6","53.8"
"0","Net Income","108.3","39.1","83.8","117.9"
"0","Dividend Per Share","0.14","0.30","0.34","0.38"
"0","Tax Rate","0.25","0.51","0.33","0.31"
"0","Basic EPS","1.68","0.64","1.44","2.07"
"1","Basic Weighted Average Shares","64.38","60.91","58.19","56.91"
"1","Basic EPS from Continuing Operations","1.68","0.64","1.44","2.07"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","1.66","0.64","1.42","2.04"
"1","Diluted Weighted Average Shares","65.15","61.53","58.97","57.91"
"1","Diluted EPS from Continuing Operations","1.66","0.64","1.42","2.04"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
