"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/6/2017","2/28/2018","2/28/2018","2/28/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","405.3","452.1","501.0","556.9"
"0","Cost of Revenue","272.4","318.1","357.1","395.6"
"0","Gross Profit","132.9","134.0","143.9","161.3"
"0","Selling,General and Administrative","38.0","35.5","39.5","34.4"
"1","General and Administrative Expense","38.0","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","-0.7","-4.9","-3.2"
"0","Operating Expenses","45.0","42.4","43.6","37.7"
"0","Operating Income","87.8","91.6","100.3","123.6"
"0","Net Interest Income","-17.4","-18.0","-17.3","-15.6"
"0","Other Income/Expense,Net","-","-0.7","-4.9","-3.2"
"0","Pre-Tax Income","70.4","72.9","78.1","104.8"
"0","Provision for Income Tax","27.6","29.3","22.0","43.6"
"0","Net Income","-5.6","-30.9","-129.1","63.7"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.35","0.11","0.28","0.40"
"0","Basic EPS","-0.16","-0.86","-3.49","1.62"
"1","Basic Weighted Average Shares","35.30","35.83","37.00","39.36"
"1","Basic EPS from Continuing Operations","1.21","1.22","1.52","1.56"
"1","Basic EPS,Continuing and Discontinued","-1.37","-2.08","-5.01","0.06"
"0","Diluted EPS","-0.16","-0.86","-3.49","1.50"
"1","Diluted Weighted Average Shares","36.35","36.85","38.08","42.55"
"1","Diluted EPS from Continuing Operations","1.18","1.18","1.47","1.44"
"1","Diluted EPS,Continuing and Discontinued","-1.37","-2.08","-5.01","0.06"
