"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/9/2017","-","5/11/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","3.2","3.2","3.5","4.0"
"0","Cost of Revenue","1.1","1.3","1.5","1.6"
"0","Gross Profit","2.1","2.0","2.1","2.3"
"0","Selling,General and Administrative","0.4","0.5","0.5","0.5"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","0.2","0.1","0.1","0.1"
"0","Special Income/Charges","-","-","0.0","-"
"0","Operating Expenses","0.6","0.6","0.6","0.6"
"0","Operating Income","1.5","1.4","1.4","1.7"
"0","Net Interest Income","-","-","-","-"
"0","Other Income/Expense,Net","0.1","0.1","-0.1","0.0"
"0","Pre-Tax Income","1.6","1.4","1.3","1.8"
"0","Provision for Income Tax","0.5","0.4","0.3","0.4"
"0","Net Income","1.1","1.0","1.1","1.4"
"0","Dividend Per Share","0.00","0.50","0.00","0.50"
"0","Tax Rate","0.30","0.31","0.28","0.26"
"0","Basic EPS","0.24","0.22","0.23","0.30"
"1","Basic Weighted Average Shares","4.59","4.59","4.59","4.59"
"1","Basic EPS from Continuing Operations","0.24","0.22","0.23","0.30"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.24","0.22","0.23","0.30"
"1","Diluted Weighted Average Shares","4.59","4.59","4.59","4.59"
"1","Diluted EPS from Continuing Operations","0.24","0.22","0.23","0.30"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
