"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","4/12/2017","4/12/2018","4/12/2018","4/12/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","-48.1","-58.8","-136.5","-134.4"
"0","Operating Gains/Losses","8.2","-18.3","-8.1","-78.9"
"1","Gain/Loss on Investment Securities","-","-","-0.8","-0.3"
"0","Depreciation,Amortization and Depletion","59.6","85.9","97.3","97.7"
"0","Deferred Taxes","-4.2","-3.0","-9.7","-18.8"
"0","Other Non-Cash Items","3.3","6.3","-13.7","0.1"
"1","Asset Impairment Charge","0.0","0.0","57.6","174.1"
"1","Stock-Based Compensation","34.2","27.8","17.4","6.9"
"1","Excess Tax Benefit from Stock-Based Compensation","-","-","-","-"
"0","Change in Receivables","-12.2","-0.4","-8.5","3.3"
"0","Change in Inventories","-0.3","-0.5","1.3","-0.2"
"0","Change in Pay/Accrued Exp","12.9","29.9","15.3","42.7"
"1","Change in Payables","12.9","16.4","3.3","3.2"
"2","Change In Account Payable","-","-","-","-"
"0","Change in Other Current Assets","-","-12.3","5.1","-12.4"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","8.0","10.4","0.3","19.4"
"0","Cash Flow from Operating Activities","47.7","31.8","12.2","58.9"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-114.8","-153.9","-84.1","-57.2"
"1","Purchase of Property,Plant and Equipment","-117.2","-154.1","-84.1","-58.0"
"0","Purchase/Sale of Business,Net","-211.7","0.0","0.0","-9.5"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","37.2","117.4","-31.6","-63.4"
"1","Purchase of Investments","-27.7","-248.3","-49.7","-134.5"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","64.9","365.7","18.1","71.0"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","-33.4","-10.8","-1.9","30.1"
"0","Cash Flow from Investing Activities","-331.3","-54.2","-123.2","-102.4"
"0","Issuance/Payments of Debt,Net","147.2","-123.2","-45.6","-64.0"
"1","Issuance/Payments of LT Debt,Net","149.7","-140.1","-251.8","170.9"
"2","Payments to Settle Long Term Debt","-147.4","-152.6","-283.2","-119.2"
"0","Issuance/Payments of Common Stock,Net","-31.3","264.9","367.0","-19.5"
"1","Proceeds or Issuance of Long Term Debt","297.1","12.5","31.4","290.1"
"1","Proceeds or Issuance of Short Term Debt","53.2","43.9","252.8","10.3"
"1","Issuance/Payments of ST Debt,Net","-2.6","17.0","206.2","-234.9"
"2","Payments to Settle Short Term Debt","-55.7","-27.0","-46.6","-245.1"
"1","Payments for Common Stock","-31.3","0.0","-6.2","-19.5"
"1","Proceeds or Issuance of Common Stock","0.0","264.9","373.3","0.0"
"0","Cash Dividends Paid","-","-","-","-"
"1","Common Stock Dividends Paid","-","-","-","-"
"0","Other Financing Changes, Net","48.0","20.5","-291.4","242.9"
"0","Cash Flow from Financing Activities","164.3","163.3","30.7","159.6"
"0","Cash, Equivalents, Start of Period","213.7","94.4","246.8","190.0"
"0","Cash, Equivalents, End of Period","94.4","246.8","190.0","285.6"
"0","Change in Cash","-119.3","140.9","-80.3","116.1"
"0","Free Cash Flow","-78.1","-129.3","-77.5","-1.9"
"0","Effect of Exchange Rate Changes","0.0","11.6","23.5","-20.5"
