"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/8/2017","-","5/9/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","1,612.3","1,689.1","1,715.6","1,605.4"
"0","Cost of Revenue","1,001.7","1,071.7","1,013.3","985.8"
"0","Gross Profit","610.7","617.4","702.3","619.7"
"0","Selling,General and Administrative","178.5","182.8","633.1","183.6"
"1","General and Administrative Expense","178.5","182.8","633.1","183.6"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-90.8","6.9","-70.1","-8.8"
"0","Operating Expenses","325.1","324.9","780.5","331.3"
"0","Operating Income","285.6","292.5","-78.2","288.4"
"0","Net Interest Income","-87.4","-87.6","-91.0","-83.0"
"0","Other Income/Expense,Net","-92.7","5.0","-79.3","-9.7"
"0","Pre-Tax Income","105.5","209.9","-248.5","195.6"
"0","Provision for Income Tax","-0.5","-334.0","-111.0","-9.7"
"0","Net Income","79.8","491.7","-204.3","155.8"
"0","Dividend Per Share","0.50","0.50","0.50","0.75"
"0","Tax Rate","0.02","0.40","0.27","0.27"
"0","Basic EPS","0.78","4.81","-1.99","1.44"
"1","Basic Weighted Average Shares","102.17","102.40","102.57","107.79"
"1","Basic EPS from Continuing Operations","0.78","4.81","-1.99","1.44"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.78","4.79","-1.99","1.44"
"1","Diluted Weighted Average Shares","102.79","103.01","102.57","108.41"
"1","Diluted EPS from Continuing Operations","0.78","4.79","-1.99","1.44"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
