"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/8/2017","3/7/2018","3/7/2018","3/7/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","28.4","15.6","1.8","0.3"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","5.5","9.8","6.8","7.3"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","11.8","15.2","19.8","25.6"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","17.3","24.9","26.6","32.9"
"0","Operating Income","11.1","-9.4","-24.8","-32.6"
"0","Net Interest Income","0.6","0.5","0.5","0.5"
"0","Other Income/Expense,Net","1.3","-6.9","1.3","1.4"
"0","Pre-Tax Income","13.0","-15.8","-23.0","-30.7"
"0","Provision for Income Tax","-","-","-","-"
"0","Net Income","13.0","-15.8","-23.0","-30.7"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","4.11","-1.10","-1.48","-1.71"
"1","Basic Weighted Average Shares","3.17","14.28","15.49","17.99"
"1","Basic EPS from Continuing Operations","4.11","-1.10","-1.48","-1.71"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","3.28","-1.10","-1.48","-1.72"
"1","Diluted Weighted Average Shares","3.96","14.28","15.49","18.00"
"1","Diluted EPS from Continuing Operations","3.28","-1.10","-1.48","-1.72"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
