"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/14/2017","-","5/14/2018","8/14/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","13.5","14.5","15.5","14.9"
"0","Cost of Revenue","5.2","5.5","5.9","5.8"
"0","Gross Profit","8.4","9.0","9.6","9.1"
"0","Selling,General and Administrative","4.6","27.8","11.2","11.1"
"1","General and Administrative Expense","-","-","11.2","11.1"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-5.7","9.5","-","-2.5"
"0","Operating Expenses","6.7","30.2","13.6","13.3"
"0","Operating Income","1.6","-21.2","-3.9","-4.2"
"0","Net Interest Income","-0.5","2.7","0.0","0.0"
"0","Other Income/Expense,Net","-5.7","9.5","-","-2.5"
"0","Pre-Tax Income","-4.6","-11.9","-3.9","-6.7"
"0","Provision for Income Tax","0.0","-0.1","0.0","0.0"
"0","Net Income","-4.6","-11.8","-4.0","-6.7"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","-0.37","-1.01","-0.24","-0.41"
"1","Basic Weighted Average Shares","12.57","13.63","16.35","16.38"
"1","Basic EPS from Continuing Operations","-0.37","-1.01","-0.24","-0.41"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","-0.37","-1.01","-0.24","-0.41"
"1","Diluted Weighted Average Shares","12.57","13.63","16.35","16.38"
"1","Diluted EPS from Continuing Operations","-0.37","-1.01","-0.24","-0.41"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
