"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","NA","10-Q","10-Q","10-Q"
"0","Stmt Source Date","-","2/6/2018","5/2/2018","8/2/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","39,120.0","40,466.3","41,033.9","43,142.3"
"0","Cost of Revenue","37,948.0","39,353.7","39,778.2","41,931.0"
"0","Gross Profit","1,172.0","1,112.7","1,255.7","1,211.3"
"0","Selling,General and Administrative","598.7","588.5","654.9","631.3"
"1","General and Administrative Expense","37.8","30.0","37.4","4.8"
"1","Selling and Marketing Expense","560.9","558.5","617.4","626.5"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-625.0","-23.8","0.0","-39.0"
"0","Operating Expenses","682.0","693.7","774.3","783.1"
"0","Operating Income","490.0","419.0","481.4","428.2"
"0","Net Interest Income","-35.3","-35.9","-48.6","-47.2"
"0","Other Income/Expense,Net","-626.2","-24.1","-71.5","-35.9"
"0","Pre-Tax Income","-171.5","359.0","361.3","345.2"
"0","Provision for Income Tax","173.0","-502.8","79.2","67.3"
"0","Net Income","-344.6","861.9","287.5","275.8"
"0","Dividend Per Share","0.37","0.38","0.38","0.38"
"0","Tax Rate","0.25","1.40","0.22","0.20"
"0","Basic EPS","-1.58","3.95","1.31","1.26"
"1","Basic Weighted Average Shares","218.49","218.32","219.20","218.57"
"1","Basic EPS from Continuing Operations","-1.58","3.95","1.31","1.26"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","-1.58","3.90","1.29","1.25"
"1","Diluted Weighted Average Shares","221.31","220.82","222.30","220.76"
"1","Diluted EPS from Continuing Operations","-1.58","3.90","1.29","1.25"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
