"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","3/22/2017","3/19/2018","3/19/2018","3/19/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","2,982.5","3,107.3","3,156.6","1,894.1"
"0","Operating Gains/Losses","28.4","103.0","-231.3","19.4"
"1","Gain/Loss on Investment Securities","-","-","-299.2","-"
"0","Depreciation,Amortization and Depletion","577.2","741.8","847.3","871.5"
"0","Deferred Taxes","484.1","876.8","76.0","1,225.5"
"0","Other Non-Cash Items","278.7","232.2","715.3","890.3"
"1","Asset Impairment Charge","24.0","23.6","47.4","37.7"
"1","Stock-Based Compensation","38.9","47.6","41.1","50.5"
"1","Excess Tax Benefit from Stock-Based Compensation","-","-","-","-"
"0","Change in Receivables","-121.3","-91.9","-139.5","-64.1"
"0","Change in Inventories","-142.1","-164.4","-105.5","-15.4"
"0","Change in Pay/Accrued Exp","380.6","1,226.4","-136.3","-25.5"
"1","Change in Payables","380.6","1,226.4","-136.3","-25.5"
"2","Change In Account Payable","380.6","1,226.4","-136.3","-25.5"
"0","Change in Other Current Assets","-","-","-","-"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","-","-","-","-"
"0","Cash Flow from Operating Activities","3,835.1","5,689.2","2,978.3","4,312.4"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-1,047.4","-1,245.3","-964.8","-748.3"
"1","Purchase of Property,Plant and Equipment","-1,084.0","-1,269.3","-997.1","-772.9"
"0","Purchase/Sale of Business,Net","-2.6","-292.5","-440.1","-80.4"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","-107.5","67.6","-18.0","66.5"
"1","Purchase of Investments","-107.5","-29.8","-18.0","-0.3"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","-","97.4","-","66.8"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","7.1","0.5","-","20.8"
"0","Cash Flow from Investing Activities","-1,150.4","-1,446.9","-1,423.0","-741.4"
"0","Issuance/Payments of Debt,Net","-189.8","-168.0","456.7","-614.3"
"1","Issuance/Payments of LT Debt,Net","-189.8","-168.0","456.7","-614.3"
"2","Payments to Settle Long Term Debt","-432.3","-1,365.8","-458.2","-1,315.1"
"0","Issuance/Payments of Common Stock,Net","20.1","-196.5","0.1","-9.3"
"1","Proceeds or Issuance of Long Term Debt","242.5","1,197.8","914.9","700.7"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-","-","-","-"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-17.9","-198.9","-","-9.3"
"1","Proceeds or Issuance of Common Stock","38.0","2.4","0.1","0.0"
"0","Cash Dividends Paid","-2,909.6","-2,772.2","-2,492.4","-2,127.9"
"1","Common Stock Dividends Paid","-","-","-","-"
"0","Other Financing Changes, Net","-91.9","-561.4","-773.9","-352.1"
"0","Cash Flow from Financing Activities","-3,171.1","-3,698.1","-2,809.6","-3,103.7"
"0","Cash, Equivalents, Start of Period","2,783.8","2,321.7","3,285.5","1,900.4"
"0","Cash, Equivalents, End of Period","2,321.7","3,285.5","1,900.4","2,497.7"
"0","Change in Cash","-486.4","544.3","-1,254.3","467.3"
"0","Free Cash Flow","2,751.0","4,419.9","1,981.2","3,539.5"
"0","Effect of Exchange Rate Changes","24.3","419.5","-130.8","130.0"
