"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/7/2017","-","5/9/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","5.2","11.6","2.2","4.8"
"0","Cost of Revenue","-","-","-","-"
"0","Gross Profit","-","-","-","-"
"0","Selling,General and Administrative","8.4","12.3","6.4","5.9"
"1","General and Administrative Expense","8.4","12.3","6.4","5.9"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","0.7","-","-"
"0","Operating Expenses","11.4","15.1","9.0","8.2"
"0","Operating Income","-6.1","-3.5","-6.8","-3.4"
"0","Net Interest Income","2.3","3.2","2.7","3.1"
"0","Other Income/Expense,Net","5.2","22.3","-25.0","16.6"
"0","Pre-Tax Income","1.4","22.0","-29.1","16.3"
"0","Provision for Income Tax","0.1","6.2","-6.7","3.4"
"0","Net Income","1.5","15.8","-22.2","11.8"
"0","Dividend Per Share","0.00","0.10","0.00","0.10"
"0","Tax Rate","0.40","0.39","0.27","0.28"
"0","Basic EPS","0.06","0.66","-0.95","0.51"
"1","Basic Weighted Average Shares","23.84","23.69","23.51","23.08"
"1","Basic EPS from Continuing Operations","0.06","0.66","-0.95","0.51"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.06","0.66","-0.95","0.51"
"1","Diluted Weighted Average Shares","23.84","24.22","23.51","23.08"
"1","Diluted EPS from Continuing Operations","0.06","0.66","-0.95","0.51"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
