"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/7/2017","3/1/2018","3/1/2018","3/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","71.2","86.3","82.0","97.5"
"0","Cost of Revenue","27.3","29.7","27.9","37.6"
"0","Gross Profit","43.9","56.6","54.1","59.9"
"0","Selling,General and Administrative","14.5","13.7","14.4","15.0"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","0.0","0.0","-0.8"
"0","Operating Expenses","14.5","13.7","14.4","15.0"
"0","Operating Income","29.3","42.9","39.7","45.0"
"0","Net Interest Income","-6.3","-6.6","-9.0","-13.6"
"0","Other Income/Expense,Net","0.0","-","-","-0.8"
"0","Pre-Tax Income","23.0","36.3","30.7","30.6"
"0","Provision for Income Tax","0.2","0.0","0.2","0.2"
"0","Net Income","24.4","34.3","40.3","30.4"
"0","Dividend Per Share","1.00","1.00","1.04","1.08"
"0","Tax Rate","0.04","0.04","0.00","0.00"
"0","Basic EPS","0.86","1.20","1.42","1.07"
"1","Basic Weighted Average Shares","28.46","28.50","28.46","28.48"
"1","Basic EPS from Continuing Operations","0.79","0.96","0.91","1.07"
"1","Basic EPS,Continuing and Discontinued","0.07","0.25","0.51","0.00"
"0","Diluted EPS","0.85","1.20","1.41","1.07"
"1","Diluted Weighted Average Shares","28.59","28.60","28.52","28.55"
"1","Diluted EPS from Continuing Operations","0.79","0.95","0.91","1.07"
"1","Diluted EPS,Continuing and Discontinued","0.07","0.24","0.51","0.00"
