"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/28/2017","2/15/2018","2/15/2018","2/15/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","5,368.0","5,598.0","5,931.0","7,933.0"
"0","Cost of Revenue","3,929.0","3,701.0","3,875.0","5,633.0"
"0","Gross Profit","1,439.0","1,897.0","2,056.0","2,300.0"
"0","Selling,General and Administrative","199.0","211.0","225.0","357.0"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","199.0","211.0","225.0","357.0"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","30.0","-32.0","-117.0","-118.0"
"0","Operating Expenses","507.0","567.0","590.0","922.0"
"0","Operating Income","932.0","1,330.0","1,466.0","1,378.0"
"0","Net Interest Income","-7.0","13.0","-3.0","-52.0"
"0","Other Income/Expense,Net","50.0","-31.0","-118.0","-119.0"
"0","Pre-Tax Income","975.0","1,312.0","1,345.0","1,207.0"
"0","Provision for Income Tax","370.0","464.0","531.0","173.0"
"0","Net Income","605.0","848.0","814.0","1,034.0"
"0","Dividend Per Share","0.50","0.80","1.10","1.20"
"0","Tax Rate","0.38","0.35","0.40","0.14"
"0","Basic EPS","4.47","6.61","6.59","8.39"
"1","Basic Weighted Average Shares","135.45","128.37","123.56","123.21"
"1","Basic EPS from Continuing Operations","4.47","6.61","6.59","8.39"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","4.42","6.56","6.54","8.35"
"1","Diluted Weighted Average Shares","136.80","129.37","124.39","123.85"
"1","Diluted EPS from Continuing Operations","4.42","6.56","6.54","8.35"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
