"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","6-K","6-K","6-K"
"0","Stmt Source Date","10/26/2017","4/26/2018","4/26/2018","7/19/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","12,605.5","13,636.3","13,131.0","13,282.8"
"0","Cost of Revenue","-","6,590.1","6,286.8","6,411.3"
"0","Gross Profit","-","7,046.2","6,844.1","6,871.5"
"0","Selling,General and Administrative","2,932.1","3,253.7","3,036.9","3,053.0"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","9,183.8","5,478.8","5,306.2","5,186.3"
"0","Operating Income","3,421.7","1,567.3","1,538.0","1,685.1"
"0","Net Interest Income","-","-349.1","-1,135.2","-104.2"
"0","Other Income/Expense,Net","-","1,916.7","1,182.3","-1,560.0"
"0","Pre-Tax Income","293.4","3,135.0","1,585.1","21.0"
"0","Provision for Income Tax","98.5","1,239.3","661.8","8.1"
"0","Net Income","127.1","1,849.3","915.5","-11.3"
"0","Dividend Per Share","0.00","0.16","0.00","0.00"
"0","Tax Rate","0.01961636","0.01548660","0.01548660","0.01548660"
"0","Basic EPS","-0.14","0.57","0.28","0.00"
"1","Basic Weighted Average Shares","170.40","169.81","170.51","170.51"
"1","Basic EPS from Continuing Operations","-0.14","0.57","0.28","0.00"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","-0.14","0.57","0.28","0.00"
"1","Diluted Weighted Average Shares","170.40","169.81","170.51","170.51"
"1","Diluted EPS from Continuing Operations","-0.14","0.57","0.28","0.00"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
