"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","4/25/2017","4/13/2018","4/13/2018","4/13/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","312.3","507.1","872.8","909.1"
"0","Cost of Revenue","55.8","98.0","350.3","198.9"
"0","Gross Profit","256.4","409.2","522.4","710.2"
"0","Selling,General and Administrative","100.8","193.4","269.9","282.5"
"1","General and Administrative Expense","19.0","28.4","44.9","41.3"
"1","Selling and Marketing Expense","81.8","165.1","225.0","241.2"
"0","Research and Development","23.2","40.1","83.6","128.6"
"0","Special Income/Charges","0.4","-","-","-"
"0","Operating Expenses","124.0","233.5","353.6","411.1"
"0","Operating Income","132.4","175.6","168.8","299.1"
"0","Net Interest Income","5.1","9.3","12.9","32.2"
"0","Other Income/Expense,Net","0.4","1.9","1.1","-0.3"
"0","Pre-Tax Income","137.8","186.8","182.8","331.1"
"0","Provision for Income Tax","28.2","41.8","4.8","39.1"
"0","Net Income","109.6","145.0","179.8","293.0"
"0","Dividend Per Share","-","-","-","0.73"
"0","Tax Rate","0.02927900","0.03220690","0.00439185","0.01756740"
"0","Basic EPS","1.03","1.29","1.57","2.52"
"1","Basic Weighted Average Shares","15.63","16.43","16.72","17.04"
"1","Basic EPS from Continuing Operations","1.03","1.29","1.57","2.52"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","0.97","1.25","1.55","2.48"
"1","Diluted Weighted Average Shares","16.52","16.93","16.99","17.28"
"1","Diluted EPS from Continuing Operations","0.97","1.25","1.55","2.48"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
