"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/27/2017","2/26/2018","2/26/2018","2/26/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","63.8","94.2","104.7","154.8"
"0","Operating Gains/Losses","-10.3","-20.9","-51.1","-"
"1","Gain/Loss on Investment Securities","-","-","10.7","-"
"0","Depreciation,Amortization and Depletion","129.4","118.3","89.2","89.2"
"0","Deferred Taxes","41.5","-48.5","51.0","-12.3"
"0","Other Non-Cash Items","-0.5","34.6","34.2","2.2"
"1","Asset Impairment Charge","27.7","0.0","1.1","0.0"
"1","Stock-Based Compensation","12.7","13.4","12.4","10.2"
"1","Excess Tax Benefit from Stock-Based Compensation","-8.4","-","-","-"
"0","Change in Receivables","-6.2","2.7","-23.9","-37.1"
"0","Change in Inventories","-26.8","-15.7","-7.0","3.6"
"0","Change in Pay/Accrued Exp","18.1","48.6","-131.4","-38.8"
"1","Change in Payables","18.1","48.6","-131.4","-38.8"
"2","Change In Account Payable","-6.1","15.0","-82.1","-20.0"
"0","Change in Other Current Assets","-9.7","-7.3","7.1","2.2"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","-22.5","-15.7","-37.0","-3.6"
"0","Cash Flow from Operating Activities","208.8","203.7","49.3","170.4"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-222.9","-170.7","-104.2","-89.7"
"1","Purchase of Property,Plant and Equipment","-222.9","-170.7","-104.2","-89.7"
"0","Purchase/Sale of Business,Net","-4.1","0.0","0.0","-31.2"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","2.4","-","-","-"
"1","Purchase of Investments","-","-","-","-"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","2.4","-","-","-"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","7.4","5.0","0.3","-2.4"
"0","Cash Flow from Investing Activities","-148.8","-101.5","-17.0","-54.2"
"0","Issuance/Payments of Debt,Net","-21.6","-37.5","-68.6","-25.0"
"1","Issuance/Payments of LT Debt,Net","-21.6","-37.5","-68.6","-25.0"
"2","Payments to Settle Long Term Debt","-23.9","-39.5","-434.1","-25.0"
"0","Issuance/Payments of Common Stock,Net","-","-","-43.8","-80.4"
"1","Proceeds or Issuance of Long Term Debt","2.3","2.0","365.5","0.0"
"1","Proceeds or Issuance of Short Term Debt","122.8","0.0","90.0","103.0"
"1","Issuance/Payments of ST Debt,Net","0.0","0.0","0.0","0.0"
"2","Payments to Settle Short Term Debt","-122.8","0.0","-90.0","-103.0"
"1","Payments for Common Stock","0.0","0.0","-43.8","-80.4"
"1","Proceeds or Issuance of Common Stock","-","-","-","-"
"0","Cash Dividends Paid","-1.3","-1.2","0.0","0.0"
"1","Common Stock Dividends Paid","-1.3","-1.2","0.0","0.0"
"0","Other Financing Changes, Net","8.4","-","-17.2","-0.6"
"0","Cash Flow from Financing Activities","3.3","-32.3","-128.9","-102.7"
"0","Cash, Equivalents, Start of Period","135.2","185.3","244.8","141.9"
"0","Cash, Equivalents, End of Period","185.3","244.8","141.9","159.6"
"0","Change in Cash","62.8","69.9","-96.6","13.5"
"0","Free Cash Flow","-14.1","33.0","-54.9","80.7"
"0","Effect of Exchange Rate Changes","-12.7","-10.4","-6.3","4.2"
