"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/17/2017","2/23/2018","2/23/2018","2/23/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","4,343.5","4,071.4","4,004.4","4,046.2"
"0","Cost of Revenue","3,484.4","3,198.0","3,138.2","3,261.0"
"0","Gross Profit","859.1","873.4","866.2","785.2"
"0","Selling,General and Administrative","416.6","420.0","392.2","390.5"
"1","General and Administrative Expense","-","420.0","392.2","390.5"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","44.1","44.1","46.5","42.9"
"0","Special Income/Charges","9.3","-5.6","-22.5","-254.3"
"0","Operating Expenses","451.4","456.0","434.4","415.2"
"0","Operating Income","407.7","417.4","431.8","370.0"
"0","Net Interest Income","-53.2","-47.9","-57.7","-63.0"
"0","Other Income/Expense,Net","9.3","-5.6","-23.2","-254.3"
"0","Pre-Tax Income","363.7","363.9","350.9","52.7"
"0","Provision for Income Tax","124.6","122.0","114.7","-41.3"
"0","Net Income","191.1","239.3","236.2","94.0"
"0","Dividend Per Share","1.08","1.12","1.16","1.20"
"0","Tax Rate","0.34","0.34","0.33","0.78"
"0","Basic EPS","1.91","2.47","2.51","1.03"
"1","Basic Weighted Average Shares","100.20","96.70","94.30","91.50"
"1","Basic EPS from Continuing Operations","2.39","2.50","2.51","1.03"
"1","Basic EPS,Continuing and Discontinued","-0.48","-0.03","0.00","0.00"
"0","Diluted EPS","1.89","2.44","2.48","1.02"
"1","Diluted Weighted Average Shares","101.20","97.90","95.10","91.90"
"1","Diluted EPS from Continuing Operations","2.36","2.47","2.48","1.02"
"1","Diluted EPS,Continuing and Discontinued","-0.48","-0.03","0.00","0.00"
