"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/3/2017","-","5/4/2018","8/3/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","922.6","946.1","1,183.1","940.8"
"0","Cost of Revenue","664.6","679.3","849.5","552.4"
"0","Gross Profit","258.0","266.7","333.6","388.4"
"0","Selling,General and Administrative","23.9","21.0","23.3","21.8"
"1","General and Administrative Expense","-","-","23.3","21.8"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-0.5","0.9","-","-"
"0","Operating Expenses","89.6","94.2","164.1","242.7"
"0","Operating Income","168.5","172.5","169.5","145.7"
"0","Net Interest Income","-56.6","-56.7","-59.1","-59.6"
"0","Other Income/Expense,Net","8.8","14.2","7.2","8.0"
"0","Pre-Tax Income","120.7","129.9","117.6","94.1"
"0","Provision for Income Tax","0.4","-0.8","0.5","0.8"
"0","Net Income","116.2","126.3","224.7","183.8"
"0","Dividend Per Share","1.26","1.26","1.26","1.26"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","0.82","0.83","0.75","0.59"
"1","Basic Weighted Average Shares","142.09","146.69","148.90","153.26"
"1","Basic EPS from Continuing Operations","0.82","0.83","0.75","0.59"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.81","0.83","0.74","0.59"
"1","Diluted Weighted Average Shares","142.82","147.23","149.53","153.99"
"1","Diluted EPS from Continuing Operations","0.81","0.83","0.74","0.59"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
