"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/8/2017","-","5/8/2018","8/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","408.7","408.1","311.4","291.3"
"0","Cost of Revenue","361.4","362.6","322.0","332.4"
"0","Gross Profit","47.3","45.5","-10.7","-41.1"
"0","Selling,General and Administrative","60.2","64.0","64.9","52.2"
"1","General and Administrative Expense","-","-","64.9","52.2"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","2.3","2.0","1.5","1.3"
"0","Special Income/Charges","-98.4","-7.3","-6.9","-92.0"
"0","Operating Expenses","62.5","65.9","66.4","46.4"
"0","Operating Income","-15.2","-20.4","-77.1","-87.5"
"0","Net Interest Income","-7.3","-10.6","-13.4","-11.8"
"0","Other Income/Expense,Net","-97.1","-3.8","-15.8","-112.3"
"0","Pre-Tax Income","-119.7","-34.8","-106.3","-211.6"
"0","Provision for Income Tax","-5.6","72.5","14.1","-1.9"
"0","Net Income","-114.3","-107.5","-120.4","-265.8"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.21","0.20","0.14"
"0","Basic EPS","-1.24","-1.20","-2.73","-2.12"
"1","Basic Weighted Average Shares","92.56","88.30","44.19","125.21"
"1","Basic EPS from Continuing Operations","-1.24","-1.20","-2.73","-1.68"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-0.44"
"0","Diluted EPS","-1.24","-1.20","-2.73","-2.12"
"1","Diluted Weighted Average Shares","92.56","88.30","44.19","125.21"
"1","Diluted EPS from Continuing Operations","-1.24","-1.20","-2.73","-1.68"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-0.44"
