"0","Period End Date","7/29/2017","10/28/2017","2/3/2018","5/5/2018"
"0","Stmt Source","10-Q","10-Q","NA","10-Q"
"0","Stmt Source Date","8/30/2017","11/30/2017","-","6/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","86.6","98.5","92.3","86.0"
"0","Cost of Revenue","62.0","65.2","67.2","58.6"
"0","Gross Profit","24.6","33.2","25.1","27.4"
"0","Selling,General and Administrative","29.2","31.8","31.4","29.7"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-0.1","0.0","-0.2","0.0"
"0","Operating Expenses","32.3","34.8","34.6","32.6"
"0","Operating Income","-7.7","-1.5","-9.5","-5.2"
"0","Net Interest Income","0.0","0.0","0.0","-0.1"
"0","Other Income/Expense,Net","-0.1","-","-0.2","-"
"0","Pre-Tax Income","-7.8","-1.6","-9.7","-5.3"
"0","Provision for Income Tax","0.0","0.0","-0.9","0.0"
"0","Net Income","-7.9","-1.6","-8.8","-5.3"
"0","Dividend Per Share","0.00","0.00","0.00","0.00"
"0","Tax Rate","0.01","0.01","0.03","0.03"
"0","Basic EPS","-0.21","-0.05","-0.23","-0.14"
"1","Basic Weighted Average Shares","37.16","37.29","37.31","37.30"
"1","Basic EPS from Continuing Operations","-0.21","-0.05","-0.23","-0.14"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","-"
"0","Diluted EPS","-0.21","-0.05","-0.23","-0.14"
"1","Diluted Weighted Average Shares","37.16","37.29","37.31","37.30"
"1","Diluted EPS from Continuing Operations","-0.21","-0.05","-0.23","-0.14"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","-"
