"0","Period End Date","6/30/2014","6/30/2015","6/30/2016","6/30/2017"
"0","Stmt Source","10-K","10-K","10-K/A","10-K/A"
"0","Stmt Source Date","9/17/2015","10/7/2016","3/16/2018","3/16/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","233.4","263.4","268.8","285.2"
"0","Cost of Revenue","142.2","159.4","175.8","201.4"
"0","Gross Profit","91.2","104.0","93.0","83.8"
"0","Selling,General and Administrative","23.3","20.3","60.4","51.8"
"1","General and Administrative Expense","14.5","11.3","11.8","19.3"
"1","Selling and Marketing Expense","8.8","9.0","48.6","32.5"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-5.7","0.1","0.0","-0.1"
"0","Operating Expenses","50.7","62.2","60.4","51.8"
"0","Operating Income","40.5","41.7","32.6","32.0"
"0","Net Interest Income","-1.2","-1.4","-0.5","-0.2"
"0","Other Income/Expense,Net","-5.7","0.1","0.0","-0.1"
"0","Pre-Tax Income","33.6","40.4","32.1","31.7"
"0","Provision for Income Tax","8.1","8.9","7.4","6.5"
"0","Net Income","25.5","31.4","24.7","25.2"
"0","Dividend Per Share","-","0.10","0.00","0.00"
"0","Tax Rate","0.24","0.22","0.23","0.21"
"0","Basic EPS","0.81","0.93","0.67","0.66"
"1","Basic Weighted Average Shares","31.40","33.98","36.70","38.09"
"1","Basic EPS from Continuing Operations","0.81","0.93","0.67","0.66"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","0.81","0.93","0.67","0.66"
"1","Diluted Weighted Average Shares","31.40","33.98","36.70","38.09"
"1","Diluted EPS from Continuing Operations","0.81","0.93","0.67","0.66"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
