"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/27/2017","2/26/2018","2/26/2018","2/26/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","1,456.3","1,543.4","1,576.9","1,666.7"
"0","Cost of Revenue","1,034.7","1,087.6","1,115.4","1,150.5"
"0","Gross Profit","421.6","455.8","461.5","516.2"
"0","Selling,General and Administrative","219.5","237.7","241.5","268.2"
"1","General and Administrative Expense","219.5","237.7","241.5","268.2"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-0.6","-0.7","-4.9","-90.4"
"0","Operating Expenses","250.1","271.2","276.1","305.0"
"0","Operating Income","171.5","184.6","185.3","211.2"
"0","Net Interest Income","-8.2","-3.4","-3.3","-3.8"
"0","Other Income/Expense,Net","-0.6","-1.1","-4.9","-90.4"
"0","Pre-Tax Income","162.8","180.1","177.1","116.9"
"0","Provision for Income Tax","63.4","69.9","68.3","18.7"
"0","Net Income","99.3","110.3","108.7","98.2"
"0","Dividend Per Share","0.84","0.92","1.00","1.08"
"0","Tax Rate","0.39","0.39","0.39","0.16"
"0","Basic EPS","5.79","6.54","6.64","6.11"
"1","Basic Weighted Average Shares","17.17","16.87","16.38","16.06"
"1","Basic EPS from Continuing Operations","5.79","6.54","6.64","6.11"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","5.57","6.33","6.48","5.86"
"1","Diluted Weighted Average Shares","17.84","17.42","16.79","16.74"
"1","Diluted EPS from Continuing Operations","5.57","6.33","6.48","5.86"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
