"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/1/2017","2/27/2018","2/27/2018","2/27/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","1,282.5","1,098.7","1,138.0","1,364.4"
"0","Cost of Revenue","861.1","768.6","838.5","1,037.8"
"0","Gross Profit","421.4","330.1","299.5","326.6"
"0","Selling,General and Administrative","110.4","108.7","124.9","167.4"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","110.4","108.7","124.9","167.4"
"0","Operating Income","311.0","221.4","174.6","159.2"
"0","Net Interest Income","-20.1","-21.5","-34.1","-52.9"
"0","Other Income/Expense,Net","0.9","14.6","56.8","-3.6"
"0","Pre-Tax Income","291.8","214.5","197.3","102.7"
"0","Provision for Income Tax","73.9","55.3","34.6","60.0"
"0","Net Income","217.9","159.2","162.7","42.7"
"0","Dividend Per Share","2.40","2.64","2.78","2.88"
"0","Tax Rate","0.25","0.26","0.18","0.58"
"0","Basic EPS","6.45","4.70","4.79","1.25"
"1","Basic Weighted Average Shares","33.56","33.68","33.78","33.82"
"1","Basic EPS from Continuing Operations","6.45","4.70","4.79","1.25"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","6.44","4.69","4.79","1.25"
"1","Diluted Weighted Average Shares","33.58","33.69","33.78","33.82"
"1","Diluted EPS from Continuing Operations","6.44","4.69","4.79","1.25"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
