"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","NA","6-K","6-K"
"0","Stmt Source Date","11/8/2017","-","4/25/2018","7/26/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","3,376.0","3,951.4","3,565.5","4,569.3"
"0","Cost of Revenue","1,733.9","2,827.1","1,940.1","2,109.1"
"0","Gross Profit","1,642.1","1,124.3","1,625.4","2,460.1"
"0","Selling,General and Administrative","87.9","69.0","135.7","82.6"
"1","General and Administrative Expense","87.9","69.0","135.7","82.6"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","4.5","15.9","9.1","5.3"
"0","Special Income/Charges","33.4","44.7","-88.7","-285.1"
"0","Operating Expenses","1,310.1","1,465.5","1,779.3","1,756.6"
"0","Operating Income","332.1","-341.2","-153.9","703.5"
"0","Net Interest Income","-120.5","-139.5","-111.4","-116.0"
"0","Other Income/Expense,Net","-76.6","-645.2","-547.4","-883.2"
"0","Pre-Tax Income","134.9","-1,125.8","-812.7","-295.7"
"0","Provision for Income Tax","-83.4","-510.2","-119.8","15.2"
"0","Net Income","-52.3","442.8","-495.8","-316.9"
"0","Dividend Per Share","0.04","0.04","0.04","0.04"
"0","Tax Rate","0.12130160","0.01516270","0.21985915","0.25018455"
"0","Basic EPS","-0.05","0.33","-0.40","-0.26"
"1","Basic Weighted Average Shares","931.60","932.73","931.60","931.60"
"1","Basic EPS from Continuing Operations","0.17","-0.64","-0.56","-0.25"
"1","Basic EPS,Continuing and Discontinued","-0.22","0.97","0.16","-0.01"
"0","Diluted EPS","-0.05","0.33","-0.40","-0.26"
"1","Diluted Weighted Average Shares","931.60","932.73","931.60","931.98"
"1","Diluted EPS from Continuing Operations","0.17","-0.64","-0.56","-0.25"
"1","Diluted EPS,Continuing and Discontinued","-0.22","0.97","0.16","-0.01"
