"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/2/2017","-","5/2/2018","7/27/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","3,666.0","3,058.0","3,689.0","3,562.0"
"0","Cost of Revenue","610.0","616.0","616.0","592.0"
"0","Gross Profit","3,056.0","2,442.0","3,073.0","2,970.0"
"0","Selling,General and Administrative","1,817.0","1,729.0","1,742.0","1,703.0"
"1","General and Administrative Expense","1,817.0","1,729.0","1,742.0","1,703.0"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-36.0","-1,794.0","-32.0","-110.0"
"0","Operating Expenses","2,934.0","2,805.0","2,833.0","2,759.0"
"0","Operating Income","122.0","-363.0","240.0","211.0"
"0","Net Interest Income","-238.0","-225.0","-228.0","-235.0"
"0","Other Income/Expense,Net","-31.0","-1,791.0","-25.0","-105.0"
"0","Pre-Tax Income","-147.0","-2,379.0","-13.0","-129.0"
"0","Provision for Income Tax","-59.0","-375.0","-7.0","-38.0"
"0","Net Income","-110.0","-2,013.0","-25.0","-110.0"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.06","0.16","0.17","0.18"
"0","Basic EPS","-0.98","-18.01","-0.22","-0.97"
"1","Basic Weighted Average Shares","111.94","111.97","112.29","112.84"
"1","Basic EPS from Continuing Operations","-0.96","-17.98","-0.22","-0.97"
"1","Basic EPS,Continuing and Discontinued","-0.02","-0.03","0.00","0.00"
"0","Diluted EPS","-0.98","-18.01","-0.22","-0.97"
"1","Diluted Weighted Average Shares","111.94","111.97","112.29","112.84"
"1","Diluted EPS from Continuing Operations","-0.96","-17.98","-0.22","-0.97"
"1","Diluted EPS,Continuing and Discontinued","-0.02","-0.03","0.00","0.00"
