"0","Period End Date","9/26/2014","9/25/2015","9/30/2016","9/29/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","11/18/2016","11/16/2017","11/16/2017","11/16/2017"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","208.7","183.2","186.4","202.4"
"0","Operating Gains/Losses","-","-26.2","-","-"
"1","Gain/Loss on Investment Securities","-","-","-","-"
"0","Depreciation,Amortization and Depletion","53.3","69.1","85.2","84.3"
"0","Deferred Taxes","-6.7","-14.5","-22.8","-29.4"
"0","Other Non-Cash Items","1.8","5.1","1.8","2.9"
"1","Asset Impairment Charge","-","-","-","-"
"1","Stock-Based Compensation","65.7","67.1","67.0","65.3"
"1","Excess Tax Benefit from Stock-Based Compensation","-2.4","-2.5","-3.2","-6.7"
"0","Change in Receivables","10.2","-7.0","24.9","1.0"
"0","Change in Inventories","3.8","5.8","-2.9","-11.9"
"0","Change in Pay/Accrued Exp","24.1","-7.4","2.8","44.5"
"1","Change in Payables","24.1","-7.4","2.8","44.5"
"2","Change In Account Payable","24.1","-7.4","2.8","44.5"
"0","Change in Other Current Assets","-","-","-","-"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","-7.1","31.0","28.1","27.4"
"0","Cash Flow from Operating Activities","361.5","309.4","356.8","371.1"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-75.4","-157.5","-100.8","-99.6"
"1","Purchase of Property,Plant and Equipment","-75.4","-157.5","-100.8","-99.6"
"0","Purchase/Sale of Business,Net","-","-93.5","0.0","0.0"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","-92.7","58.4","-60.0","-53.2"
"1","Purchase of Investments","-389.3","-392.9","-426.1","-289.5"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","296.6","451.4","366.1","236.4"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","1.0","-0.8","-0.7","-3.7"
"0","Cash Flow from Investing Activities","-204.9","-203.6","-282.5","-161.7"
"0","Issuance/Payments of Debt,Net","-","-","-","-"
"1","Issuance/Payments of LT Debt,Net","-","-","-","-"
"2","Payments to Settle Long Term Debt","-","-","-","-"
"0","Issuance/Payments of Common Stock,Net","-36.3","-94.4","-43.4","-47.7"
"1","Proceeds or Issuance of Long Term Debt","-","-","-","-"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-","-","-","-"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-69.7","-123.1","-114.5","-117.7"
"1","Proceeds or Issuance of Common Stock","33.4","28.6","71.1","70.0"
"0","Cash Dividends Paid","-","-41.0","-48.4","-57.1"
"1","Common Stock Dividends Paid","-","-41.0","-48.4","-57.1"
"0","Other Financing Changes, Net","-4.3","-3.1","3.0","4.6"
"0","Cash Flow from Financing Activities","-40.6","-138.5","-88.8","-100.1"
"0","Cash, Equivalents, Start of Period","454.4","568.5","531.9","516.1"
"0","Cash, Equivalents, End of Period","568.5","531.9","516.1","627.0"
"0","Change in Cash","116.0","-32.7","-14.4","109.2"
"0","Free Cash Flow","248.2","114.4","135.1","266.2"
"0","Effect of Exchange Rate Changes","-1.9","-3.8","-1.4","1.7"
