"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","20-F","20-F","20-F","20-F"
"0","Stmt Source Date","3/31/2017","3/16/2018","3/16/2018","3/16/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","182.6","182.0","229.1","352.9"
"0","Cost of Revenue","139.3","144.5","148.7","209.4"
"0","Gross Profit","43.3","37.5","80.4","143.5"
"0","Selling,General and Administrative","10.3","12.6","16.1","17.7"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","1.5","0.9","4.0","0.9"
"0","Special Income/Charges","0.6","2.2","5.1","3.8"
"0","Operating Expenses","11.8","13.5","20.1","18.5"
"0","Operating Income","31.5","24.0","60.3","124.9"
"0","Net Interest Income","-15.3","-12.7","-14.2","-17.5"
"0","Other Income/Expense,Net","0.5","2.8","5.1","3.8"
"0","Pre-Tax Income","16.6","14.2","51.3","111.2"
"0","Provision for Income Tax","0.0","1.1","7.4","17.3"
"0","Net Income","16.6","13.0","43.5","92.8"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.00","0.08","0.14","0.16"
"0","Basic EPS","2.00","1.25","4.25","8.75"
"1","Basic Weighted Average Shares","8.25","10.32","10.47","10.60"
"1","Basic EPS from Continuing Operations","2.00","1.25","4.25","8.75"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","2.00","1.25","4.00","8.50"
"1","Diluted Weighted Average Shares","8.45","10.46","10.59","10.92"
"1","Diluted EPS from Continuing Operations","2.00","1.25","4.00","8.50"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
