"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","10/30/2017","-","5/2/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","75.4","95.9","90.7","76.4"
"0","Cost of Revenue","37.1","32.1","37.1","36.7"
"0","Gross Profit","38.3","63.8","53.6","39.6"
"0","Selling,General and Administrative","6.3","8.7","6.7","11.3"
"1","General and Administrative Expense","-","-","6.7","11.3"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","5.2","3.3","-","-"
"0","Special Income/Charges","-0.9","2.5","0.0","34.3"
"0","Operating Expenses","33.9","34.7","29.2","35.1"
"0","Operating Income","4.4","29.1","24.4","4.5"
"0","Net Interest Income","-4.3","-4.9","-5.1","-4.5"
"0","Other Income/Expense,Net","-1.1","2.3","-0.1","41.1"
"0","Pre-Tax Income","-1.0","26.6","19.3","41.2"
"0","Provision for Income Tax","-0.4","1.5","0.1","0.0"
"0","Net Income","-0.2","25.4","41.0","63.4"
"0","Dividend Per Share","0.39","0.39","0.39","0.39"
"0","Tax Rate","0.01","0.01","0.03","0.01"
"0","Basic EPS","-0.01","0.33","0.53","0.81"
"1","Basic Weighted Average Shares","73.69","76.23","76.21","77.10"
"1","Basic EPS from Continuing Operations","-0.01","0.33","0.25","0.54"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.01","0.33","0.53","0.81"
"1","Diluted Weighted Average Shares","73.69","76.40","76.39","77.25"
"1","Diluted EPS from Continuing Operations","-0.01","0.33","0.25","0.54"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
