"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/24/2017","2/28/2018","2/28/2018","2/28/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","917.5","849.9","886.9","916.8"
"0","Cost of Revenue","620.3","550.1","542.2","556.8"
"0","Gross Profit","297.3","299.8","344.7","360.0"
"0","Selling,General and Administrative","-","-","-","-"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","23.0","17.6","12.0","6.0"
"0","Operating Expenses","146.1","153.6","149.9","161.7"
"0","Operating Income","151.2","146.2","194.9","198.3"
"0","Net Interest Income","-41.6","-44.7","-53.8","-52.6"
"0","Other Income/Expense,Net","22.9","15.3","9.6","3.6"
"0","Pre-Tax Income","132.5","116.8","150.7","149.3"
"0","Provision for Income Tax","41.1","34.9","53.9","51.0"
"0","Net Income","91.4","81.9","96.8","98.3"
"0","Dividend Per Share","1.11","1.17","1.23","1.32"
"0","Tax Rate","0.31","0.30","0.36","0.34"
"0","Basic EPS","2.27","2.03","2.39","2.42"
"1","Basic Weighted Average Shares","40.19","40.27","40.35","40.41"
"1","Basic EPS from Continuing Operations","2.27","2.03","2.39","2.42"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","2.27","2.03","2.39","2.42"
"1","Diluted Weighted Average Shares","40.21","40.31","40.41","40.54"
"1","Diluted EPS from Continuing Operations","2.27","2.03","2.39","2.42"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
