"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/27/2017","2/27/2018","2/27/2018","2/27/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","886.9","843.8","871.2","1,048.7"
"0","Cost of Revenue","529.0","486.2","486.2","568.3"
"0","Gross Profit","357.9","357.6","385.0","480.4"
"0","Selling,General and Administrative","295.9","297.5","307.5","365.0"
"1","General and Administrative Expense","61.7","68.6","72.0","94.2"
"1","Selling and Marketing Expense","234.2","228.9","235.6","270.9"
"0","Research and Development","31.3","33.2","33.3","36.6"
"0","Special Income/Charges","-0.2","0.2","1.0","0.0"
"0","Operating Expenses","327.2","330.7","340.8","401.6"
"0","Operating Income","30.7","26.9","44.2","78.8"
"0","Net Interest Income","-9.1","-8.3","-1.7","-3.9"
"0","Other Income/Expense,Net","0.0","1.5","16.0","-6.9"
"0","Pre-Tax Income","21.6","20.1","58.4","68.1"
"0","Provision for Income Tax","5.6","5.5","-132.6","26.4"
"0","Net Income","16.0","14.6","189.9","40.8"
"0","Dividend Per Share","0.04","0.04","0.04","0.04"
"0","Tax Rate","0.26","0.27","0.40","0.39"
"0","Basic EPS","0.21","0.18","2.02","0.43"
"1","Basic Weighted Average Shares","77.56","83.12","94.05","94.33"
"1","Basic EPS from Continuing Operations","0.21","0.18","2.02","0.43"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","0.20","0.17","1.98","0.42"
"1","Diluted Weighted Average Shares","78.39","84.61","95.85","96.58"
"1","Diluted EPS from Continuing Operations","0.20","0.17","1.98","0.42"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
