"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/9/2017","-","5/3/2018","8/2/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","102.7","99.6","110.3","113.3"
"0","Cost of Revenue","62.7","50.7","47.4","64.9"
"0","Gross Profit","40.0","48.9","62.9","48.5"
"0","Selling,General and Administrative","14.6","16.1","13.4","17.8"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.2","-0.2","-","-"
"0","Operating Expenses","31.2","32.2","29.3","17.8"
"0","Operating Income","8.8","16.7","33.6","30.6"
"0","Net Interest Income","-7.9","-7.3","-7.5","-7.5"
"0","Other Income/Expense,Net","0.3","0.0","1.0","0.1"
"0","Pre-Tax Income","1.3","9.5","27.0","23.2"
"0","Provision for Income Tax","-4.8","3.5","3.9","3.1"
"0","Net Income","6.1","5.8","23.0","20.1"
"0","Dividend Per Share","0.10","0.00","0.00","0.00"
"0","Tax Rate","0.05","0.08","0.11","0.09"
"0","Basic EPS","0.08","0.08","0.32","0.28"
"1","Basic Weighted Average Shares","72.39","72.39","72.41","72.64"
"1","Basic EPS from Continuing Operations","0.08","0.08","0.32","0.28"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.08","0.08","0.31","0.27"
"1","Diluted Weighted Average Shares","73.09","72.39","73.37","74.39"
"1","Diluted EPS from Continuing Operations","0.08","0.08","0.31","0.27"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
