"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/1/2017","3/1/2018","3/1/2018","3/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","745.4","1,858.0","2,169.5","1,615.5"
"0","Cost of Revenue","387.8","956.9","1,323.6","924.6"
"0","Gross Profit","357.7","901.1","845.9","690.9"
"0","Selling,General and Administrative","145.6","410.5","638.2","549.0"
"1","General and Administrative Expense","33.6","77.8","146.9","133.9"
"1","Selling and Marketing Expense","112.0","332.7","491.3","415.0"
"0","Research and Development","54.2","150.0","320.2","343.0"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","199.7","552.9","958.3","892.0"
"0","Operating Income","157.9","348.2","-112.5","-201.1"
"0","Net Interest Income","-2.2","-1.0","3.2","3.6"
"0","Other Income/Expense,Net","-15.9","-59.2","0.0","2.8"
"0","Pre-Tax Income","139.8","287.9","-109.3","-194.6"
"0","Provision for Income Tax","8.0","112.3","-6.5","82.5"
"0","Net Income","131.8","175.7","-102.8","-277.2"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.06","0.39","0.06","0.40"
"0","Basic EPS","-","0.88","-0.47","-1.19"
"1","Basic Weighted Average Shares","181.05","129.89","220.41","232.03"
"1","Basic EPS from Continuing Operations","-","0.88","-0.47","-1.19"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","-","0.75","-0.47","-1.19"
"1","Diluted Weighted Average Shares","211.98","164.21","220.41","232.03"
"1","Diluted EPS from Continuing Operations","-","0.75","-0.47","-1.19"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
