"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/9/2017","-","5/10/2018","8/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","577.9","610.0","585.5","585.0"
"0","Cost of Revenue","111.3","113.2","116.5","111.2"
"0","Gross Profit","466.6","496.8","469.0","473.8"
"0","Selling,General and Administrative","164.8","191.0","137.4","140.4"
"1","General and Administrative Expense","92.0","112.6","90.3","96.4"
"1","Selling and Marketing Expense","72.7","78.3","47.1","44.0"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-3.3","0.0","-","-"
"0","Operating Expenses","58.7","257.0","208.6","209.5"
"0","Operating Income","407.9","239.8","260.4","264.3"
"0","Net Interest Income","-29.3","-30.8","-31.1","-33.2"
"0","Other Income/Expense,Net","-51.1","-0.7","-","-"
"0","Pre-Tax Income","327.5","208.3","229.3","231.2"
"0","Provision for Income Tax","124.7","-74.4","54.4","54.3"
"0","Net Income","202.8","282.7","174.9","176.9"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.38","-0.16","0.17","0.16"
"0","Basic EPS","2.23","3.13","1.95","1.98"
"1","Basic Weighted Average Shares","90.75","89.66","89.77","89.17"
"1","Basic EPS from Continuing Operations","2.23","3.13","1.95","1.98"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","2.18","3.04","1.88","1.91"
"1","Diluted Weighted Average Shares","93.00","92.61","93.25","89.17"
"1","Diluted EPS from Continuing Operations","2.18","3.04","1.88","1.91"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
