"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/16/2017","3/16/2018","3/16/2018","3/16/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","281.0","213.1","212.1","264.2"
"0","Cost of Revenue","231.6","146.4","135.2","178.7"
"0","Gross Profit","49.4","66.6","76.9","85.5"
"0","Selling,General and Administrative","61.7","66.0","61.6","80.1"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","5.5","2.0","0.3","0.0"
"0","Special Income/Charges","-3.0","-0.2","-39.6","-6.9"
"0","Operating Expenses","74.2","74.6","67.4","85.0"
"0","Operating Income","-24.8","-7.9","9.6","0.5"
"0","Net Interest Income","0.5","0.4","0.3","0.0"
"0","Other Income/Expense,Net","-3.0","-0.6","-39.8","-7.4"
"0","Pre-Tax Income","-27.3","-8.1","-30.0","-6.9"
"0","Provision for Income Tax","0.1","0.5","2.2","1.7"
"0","Net Income","-26.5","-7.5","-24.5","-7.0"
"0","Dividend Per Share","0.06","0.12","0.24","0.30"
"0","Tax Rate","0.00","0.06","0.07","0.25"
"0","Basic EPS","-1.31","-0.40","-1.14","-0.36"
"1","Basic Weighted Average Shares","21.26","22.14","22.80","23.53"
"1","Basic EPS from Continuing Operations","-1.31","-0.40","-1.14","-0.36"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","-1.31","-0.40","-1.14","-0.36"
"1","Diluted Weighted Average Shares","21.26","22.14","22.80","23.53"
"1","Diluted EPS from Continuing Operations","-1.31","-0.40","-1.14","-0.36"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
