"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","NA","6-K","6-K"
"0","Stmt Source Date","11/2/2017","-","4/30/2018","7/30/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","41.2","37.9","36.1","35.0"
"0","Cost of Revenue","10.6","11.6","10.5","10.2"
"0","Gross Profit","30.6","26.3","25.6","24.8"
"0","Selling,General and Administrative","1.3","1.5","1.9","1.5"
"1","General and Administrative Expense","-","-","1.9","1.5"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","-87.7","-","-"
"0","Operating Expenses","10.7","10.8","10.1","9.6"
"0","Operating Income","19.9","15.5","15.5","15.2"
"0","Net Interest Income","-10.2","-26.9","-10.5","-10.4"
"0","Other Income/Expense,Net","0.0","-87.7","-","-"
"0","Pre-Tax Income","9.7","-99.1","5.0","4.8"
"0","Provision for Income Tax","0.0","0.0","0.0","0.0"
"0","Net Income","9.6","-99.1","5.0","4.8"
"0","Dividend Per Share","0.00","0.00","0.00","0.00"
"0","Tax Rate","0.00","0.00","0.00","0.00"
"0","Basic EPS","0.19","-2.08","0.09","0.08"
"1","Basic Weighted Average Shares","55.38","55.02","48.01","55.52"
"1","Basic EPS from Continuing Operations","0.19","-2.08","0.09","0.08"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","0.19","-2.08","0.09","0.08"
"1","Diluted Weighted Average Shares","55.38","55.02","48.01","55.81"
"1","Diluted EPS from Continuing Operations","0.19","-2.08","0.09","0.08"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
