"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","NA","6-K","6-K"
"0","Stmt Source Date","11/20/2017","-","5/29/2018","8/21/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code","ILS","ILS","ILS","ILS"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","-33.0","176.8","-109.7","31.4"
"0","Operating Gains/Losses","-9.2","-36.9","-37.8","14.4"
"1","Gain/Loss on Investment Securities","28.0","-4.2","-13.3","34.7"
"0","Depreciation,Amortization and Depletion","1.9","2.2","1.7","1.7"
"0","Deferred Taxes","17.2","-114.6","-48.3","18.6"
"0","Other Non-Cash Items","133.5","66.6","293.7","47.7"
"1","Asset Impairment Charge","5.0","-0.6","0.0","0.0"
"1","Stock-Based Compensation","1.4","1.7","3.3","0.8"
"1","Excess Tax Benefit from Stock-Based Compensation","-","-","-","-"
"0","Change in Receivables","-2.8","5.3","-19.4","6.1"
"0","Change in Inventories","-","-","-","-"
"0","Change in Pay/Accrued Exp","9.7","13.0","6.9","-26.9"
"1","Change in Payables","9.7","13.0","6.9","-26.9"
"2","Change In Account Payable","9.7","13.0","6.9","-26.9"
"0","Change in Other Current Assets","-","-","-","-"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","-4.2","-14.4","-26.6","-7.8"
"0","Cash Flow from Operating Activities","113.8","0.8","68.0","-16.4"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-4.7","-1.7","-1.4","-1.9"
"1","Purchase of Property,Plant and Equipment","-4.7","-1.7","-1.4","-1.9"
"0","Purchase/Sale of Business,Net","-","-","-","-"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","54.1","36.9","261.5","255.7"
"1","Purchase of Investments","-5.0","-6.4","-35.8","-162.1"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","59.1","43.3","297.3","417.8"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","-","-3.3","-3.9","-38.3"
"0","Cash Flow from Investing Activities","-4.4","134.4","256.8","-60.0"
"0","Issuance/Payments of Debt,Net","-28.3","-11.7","-81.9","204.9"
"1","Issuance/Payments of LT Debt,Net","80.8","88.8","-76.3","207.4"
"2","Payments to Settle Long Term Debt","-44.4","-107.2","-312.6","-22.2"
"0","Issuance/Payments of Common Stock,Net","-8.1","-12.2","-","-13.0"
"1","Proceeds or Issuance of Long Term Debt","125.2","196.0","236.2","229.6"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-109.1","-100.5","-5.6","-2.5"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-8.1","-12.2","0.0","-13.0"
"1","Proceeds or Issuance of Common Stock","-","-","-","-"
"0","Cash Dividends Paid","-18.9","-18.9","-18.9","-20.5"
"1","Common Stock Dividends Paid","-18.9","-18.9","-18.9","-20.5"
"0","Other Financing Changes, Net","-32.5","-45.8","-79.1","-57.2"
"0","Cash Flow from Financing Activities","-87.7","-88.6","-179.9","114.1"
"0","Cash, Equivalents, Start of Period","196.0","222.9","264.8","408.9"
"0","Cash, Equivalents, End of Period","222.9","264.8","408.9","431.7"
"0","Change in Cash","21.7","46.6","144.9","37.8"
"0","Free Cash Flow","109.1","-0.8","66.6","-18.3"
"0","Effect of Exchange Rate Changes","5.3","-4.7","-0.8","-15.0"
