"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/1/2017","-","5/2/2018","8/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","37.1","37.2","35.8","40.5"
"0","Cost of Revenue","12.7","11.9","12.1","13.8"
"0","Gross Profit","24.4","25.3","23.7","26.7"
"0","Selling,General and Administrative","21.6","20.1","21.6","21.0"
"1","General and Administrative Expense","7.3","1.2","6.0","5.3"
"1","Selling and Marketing Expense","14.4","18.9","15.7","15.7"
"0","Research and Development","9.3","8.4","9.3","8.6"
"0","Special Income/Charges","-0.1","0.0","-","-"
"0","Operating Expenses","30.9","28.5","30.9","29.6"
"0","Operating Income","-6.5","-3.2","-7.2","-2.9"
"0","Net Interest Income","0.0","0.1","0.1","0.2"
"0","Other Income/Expense,Net","-0.1","0.0","-0.2","0.0"
"0","Pre-Tax Income","-6.5","-3.2","-7.3","-2.7"
"0","Provision for Income Tax","0.1","0.2","0.1","0.1"
"0","Net Income","-6.6","-3.4","-7.3","-2.8"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.01","0.03","0.03","0.02"
"0","Basic EPS","-0.12","-0.06","-0.13","-0.05"
"1","Basic Weighted Average Shares","53.68","53.70","54.33","54.83"
"1","Basic EPS from Continuing Operations","-0.12","-0.06","-0.13","-0.05"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","-0.12","-0.06","-0.13","-0.05"
"1","Diluted Weighted Average Shares","53.68","53.70","54.33","54.83"
"1","Diluted EPS from Continuing Operations","-0.12","-0.06","-0.13","-0.05"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
