"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/28/2017","2/28/2018","2/28/2018","2/28/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","518.0","662.7","863.0","1,132.9"
"0","Cost of Revenue","378.0","474.4","610.5","808.9"
"0","Gross Profit","140.1","188.3","252.4","324.0"
"0","Selling,General and Administrative","111.6","137.1","175.1","222.9"
"1","General and Administrative Expense","80.7","99.4","125.5","164.5"
"1","Selling and Marketing Expense","31.0","37.7","49.7","58.5"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","114.5","143.3","186.4","249.8"
"0","Operating Income","25.6","45.0","66.1","74.3"
"0","Net Interest Income","-3.2","-3.7","-6.2","-17.4"
"0","Other Income/Expense,Net","0.2","0.7","-0.3","-1.1"
"0","Pre-Tax Income","22.6","41.9","59.6","55.8"
"0","Provision for Income Tax","8.6","15.4","21.2","14.7"
"0","Net Income","13.9","26.5","38.4","41.1"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.38","0.37","0.36","0.26"
"0","Basic EPS","-0.20","0.85","1.23","1.30"
"1","Basic Weighted Average Shares","30.11","31.30","31.30","31.64"
"1","Basic EPS from Continuing Operations","-0.20","0.85","1.23","1.30"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","-0.20","0.85","1.23","1.30"
"1","Diluted Weighted Average Shares","30.11","31.33","31.36","31.76"
"1","Diluted EPS from Continuing Operations","-0.20","0.85","1.23","1.30"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
