"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","10/26/2017","-","5/1/2018","7/25/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","98.8","125.6","85.0","98.3"
"0","Cost of Revenue","58.9","65.4","34.3","37.9"
"0","Gross Profit","39.9","60.1","50.7","60.4"
"0","Selling,General and Administrative","25.5","25.3","28.1","32.6"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","4.6","6.2","3.6","3.9"
"0","Special Income/Charges","-3.4","-2.5","-0.7","-8.0"
"0","Operating Expenses","31.9","32.9","33.0","37.9"
"0","Operating Income","7.9","27.2","17.7","22.6"
"0","Net Interest Income","-0.3","-0.3","-0.2","-0.6"
"0","Other Income/Expense,Net","-3.4","-2.5","-0.7","-8.0"
"0","Pre-Tax Income","4.2","24.5","16.7","14.0"
"0","Provision for Income Tax","1.0","15.9","4.5","3.6"
"0","Net Income","-0.9","4.8","8.5","7.6"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate"
"0","Basic EPS","-0.01","0.08","0.13","0.12"
"1","Basic Weighted Average Shares","64.74","64.65","64.56","63.31"
"1","Basic EPS from Continuing Operations","-0.01","0.08","0.13","0.12"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","-0.01","0.08","0.13","0.12"
"1","Diluted Weighted Average Shares","64.80","64.66","64.62","63.43"
"1","Diluted EPS from Continuing Operations","-0.01","0.08","0.13","0.12"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
