"0","Period End Date","6/30/2017","9/30/2017","12/31/2017","3/31/2018"
"0","Stmt Source","NA","6-K","6-K","6-K"
"0","Stmt Source Date","-","12/11/2017","2/27/2018","5/24/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","484.2","515.9","582.7","578.3"
"0","Cost of Revenue","333.3","350.4","396.9","395.3"
"0","Gross Profit","150.9","165.6","185.7","183.0"
"0","Selling,General and Administrative","115.5","107.2","136.7","144.7"
"1","General and Administrative Expense","26.4","11.7","30.6","32.2"
"1","Selling and Marketing Expense","89.1","95.5","106.1","112.5"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","0.6","14.8","-"
"0","Operating Expenses","110.2","116.3","136.7","146.2"
"0","Operating Income","40.7","49.3","49.0","36.8"
"0","Net Interest Income","-56.8","-113.7","-45.1","-53.5"
"0","Other Income/Expense,Net","30.2","97.7","221.4","37.6"
"0","Pre-Tax Income","14.1","33.2","225.3","20.9"
"0","Provision for Income Tax","46.0","31.7","-44.3","8.6"
"0","Net Income","-19.2","14.1","213.5","12.4"
"0","Dividend Per Share","0.00","0.00","0.61","0.00"
"0","Tax Rate","0.008933925","0.008933925","0.003063060","0.003573570"
"0","Basic EPS","-0.33","0.25","3.71","0.22"
"1","Basic Weighted Average Shares","1.47","1.47","1.47","1.46"
"1","Basic EPS from Continuing Operations","-0.32","0.24","3.66","0.22"
"1","Basic EPS,Continuing and Discontinued","-0.02","0.00","0.06","-0.01"
"0","Diluted EPS","-0.33","0.25","3.69","0.21"
"1","Diluted Weighted Average Shares","1.48","1.47","1.48","1.48"
"1","Diluted EPS from Continuing Operations","-0.32","0.24","3.63","0.22"
"1","Diluted EPS,Continuing and Discontinued","-0.02","0.00","0.06","-0.01"
