"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/24/2017","2/23/2018","2/23/2018","2/23/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","-334.3","633.7","592.7","306.2"
"0","Operating Gains/Losses","-185.8","-6.4","3.5","-14.5"
"1","Gain/Loss on Investment Securities","-166.2","-6.4","3.5","-14.5"
"0","Depreciation,Amortization and Depletion","186.1","176.5","206.7","225.6"
"0","Deferred Taxes","-16.9","-14.6","55.9","-139.6"
"0","Other Non-Cash Items","18.1","-3.5","-","-"
"1","Asset Impairment Charge","850.0","-","-","-"
"1","Stock-Based Compensation","240.0","217.3","224.6","187.5"
"1","Excess Tax Benefit from Stock-Based Compensation","-9.4","-","-","-"
"0","Change in Receivables","-16.8","-218.9","-263.5","203.8"
"0","Change in Inventories","-","-","-","-"
"0","Change in Pay/Accrued Exp","43.4","22.9","50.3","435.9"
"1","Change in Payables","89.3","24.1","69.7","437.2"
"2","Change In Account Payable","38.3","-80.2","66.6","-10.1"
"0","Change in Other Current Assets","-","-","-","-"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","-0.9","136.0","280.6","12.2"
"0","Cash Flow from Operating Activities","763.4","899.5","1,107.2","1,260.1"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-192.9","-210.3","-214.7","-151.2"
"1","Purchase of Property,Plant and Equipment","-192.9","-210.3","-214.7","-151.2"
"0","Purchase/Sale of Business,Net","-27.1","-3.5","-144.6","-33.0"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","503.7","-301.3","-86.3","-199.8"
"1","Purchase of Investments","-2,466.5","-1,496.2","-1,623.2","-1,897.8"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","2,970.2","1,194.9","1,536.9","1,698.0"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","44.6","11.7","1.0","-"
"0","Cash Flow from Investing Activities","434.0","-503.4","-444.6","-309.0"
"0","Issuance/Payments of Debt,Net","346.5","594.6","194.0","0.0"
"1","Issuance/Payments of LT Debt,Net","346.5","594.6","194.0","0.0"
"2","Payments to Settle Long Term Debt","0.0","0.0","-300.0","0.0"
"0","Issuance/Payments of Common Stock,Net","-2,102.7","-1,031.6","-262.3","-661.3"
"1","Proceeds or Issuance of Long Term Debt","346.5","594.6","494.0","0.0"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-","-","-","-"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-2,262.5","-1,152.8","-324.6","-725.8"
"1","Proceeds or Issuance of Common Stock","159.8","121.2","62.3","64.5"
"0","Cash Dividends Paid","-86.0","-156.3","-152.5","-150.4"
"1","Common Stock Dividends Paid","-86.0","-156.3","-152.5","-150.4"
"0","Other Financing Changes, Net","18.0","-0.4","-15.5","16.9"
"0","Cash Flow from Financing Activities","-1,824.2","-593.7","-236.3","-794.8"
"0","Cash, Equivalents, Start of Period","2,284.0","1,639.6","1,420.9","1,833.2"
"0","Cash, Equivalents, End of Period","1,639.6","1,420.9","1,833.2","2,006.5"
"0","Change in Cash","-626.8","-197.6","426.3","156.3"
"0","Free Cash Flow","570.5","689.2","892.5","1,108.9"
"0","Effect of Exchange Rate Changes","-17.6","-21.1","-14.0","17.0"
