"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/27/2017","2/23/2018","2/23/2018","2/23/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","993.9","1,166.8","1,170.8","1,200.8"
"0","Cost of Revenue","244.4","292.1","287.5","300.0"
"0","Gross Profit","749.5","874.6","883.3","900.9"
"0","Selling,General and Administrative","136.5","135.1","128.3","129.6"
"1","General and Administrative Expense","136.5","135.1","128.3","129.6"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-39.8","-45.4","-138.9","-69.1"
"0","Operating Expenses","399.4","485.7","489.2","496.0"
"0","Operating Income","350.1","389.0","394.1","404.8"
"0","Net Interest Income","-199.7","-179.8","-191.1","-189.1"
"0","Other Income/Expense,Net","-48.4","-40.2","-135.0","-69.3"
"0","Pre-Tax Income","102.1","168.9","68.0","146.3"
"0","Provision for Income Tax","22.4","60.2","72.5","-0.9"
"0","Net Income","424.0","894.2","378.9","426.1"
"0","Dividend Per Share","0.92","0.98","1.04","1.09"
"0","Tax Rate"
"0","Basic EPS","0.89","2.01","0.79","0.87"
"1","Basic Weighted Average Shares","409.09","411.32","418.40","423.61"
"1","Basic EPS from Continuing Operations","0.77","2.01","0.79","0.87"
"1","Basic EPS,Continuing and Discontinued","0.12","0.00","0.00","0.00"
"0","Diluted EPS","0.89","2.00","0.79","0.87"
"1","Diluted Weighted Average Shares","411.04","412.85","419.71","424.02"
"1","Diluted EPS from Continuing Operations","0.77","2.00","0.79","0.87"
"1","Diluted EPS,Continuing and Discontinued","0.12","0.00","0.00","0.00"
