"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/8/2017","-","5/10/2018","8/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","379.0","414.0","357.0","372.0"
"0","Cost of Revenue","292.0","320.0","303.0","312.0"
"0","Gross Profit","87.0","94.0","54.0","60.0"
"0","Selling,General and Administrative","49.0","50.0","63.0","63.0"
"1","General and Administrative Expense","49.0","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","12.0","11.0","15.0","14.0"
"0","Special Income/Charges","-76.0","-1.0","-1.0","-1.0"
"0","Operating Expenses","61.0","61.0","78.0","76.0"
"0","Operating Income","26.0","33.0","-24.0","-16.0"
"0","Net Interest Income","-8.0","-8.0","-8.0","-9.0"
"0","Other Income/Expense,Net","-68.0","-25.0","14.0","30.0"
"0","Pre-Tax Income","58.0","-50.0","-18.0","5.0"
"0","Provision for Income Tax","-13.0","-104.0","7.0","1.0"
"0","Net Income","-46.0","129.0","-25.0","4.0"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.07","0.40","0.27","0.27"
"0","Basic EPS","-1.20","2.91","-0.70","-0.02"
"1","Basic Weighted Average Shares","42.50","42.50","42.60","42.70"
"1","Basic EPS from Continuing Operations","-1.20","2.89","-0.70","-0.02"
"1","Basic EPS,Continuing and Discontinued","0.00","0.02","-","0.00"
"0","Diluted EPS","-1.20","2.91","-0.70","-0.02"
"1","Diluted Weighted Average Shares","42.50","43.30","42.60","42.70"
"1","Diluted EPS from Continuing Operations","-1.20","2.89","-0.70","-0.02"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.02","-","0.00"
