"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/24/2017","2/27/2018","2/27/2018","2/27/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","1,555.0","1,626.9","1,416.2","1,475.5"
"0","Cost of Revenue","1,343.7","1,366.7","1,127.9","1,154.1"
"0","Gross Profit","211.3","260.2","288.3","321.4"
"0","Selling,General and Administrative","116.2","124.6","131.0","143.3"
"1","General and Administrative Expense","-","124.6","131.0","143.3"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-17.9","-106.0","-15.1","-25.5"
"0","Operating Expenses","160.2","183.6","183.9","193.1"
"0","Operating Income","51.1","76.6","104.4","128.3"
"0","Net Interest Income","-39.1","-50.7","-50.8","-42.5"
"0","Other Income/Expense,Net","-17.9","-106.0","-15.1","-25.5"
"0","Pre-Tax Income","-5.9","-80.1","38.5","60.3"
"0","Provision for Income Tax","34.1","-4.2","11.4","29.0"
"0","Net Income","-32.4","-72.0","29.3","29.1"
"0","Dividend Per Share","1.00","0.00","0.00","0.00"
"0","Tax Rate","0.35","0.05","0.30","0.40"
"0","Basic EPS","-1.58","-3.51","1.42","1.40"
"1","Basic Weighted Average Shares","20.46","20.54","20.64","20.75"
"1","Basic EPS from Continuing Operations","-1.61","-3.50","1.39","1.44"
"1","Basic EPS,Continuing and Discontinued","0.03","-0.01","0.03","-0.04"
"0","Diluted EPS","-1.58","-3.51","1.39","1.32"
"1","Diluted Weighted Average Shares","20.46","20.54","21.06","22.00"
"1","Diluted EPS from Continuing Operations","-1.61","-3.50","1.36","1.36"
"1","Diluted EPS,Continuing and Discontinued","0.03","-0.01","0.03","-0.04"
