"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/28/2017","2/28/2018","2/28/2018","2/28/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","765.9","737.6","746.7","820.1"
"0","Cost of Revenue","492.7","459.8","466.6","528.6"
"0","Gross Profit","273.2","277.7","280.1","291.5"
"0","Selling,General and Administrative","195.9","199.7","196.0","202.4"
"1","General and Administrative Expense","195.9","199.7","196.0","202.4"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.1","-6.8","-1.0","-30.0"
"0","Operating Expenses","195.9","199.7","196.0","202.4"
"0","Operating Income","77.4","78.1","84.1","89.0"
"0","Net Interest Income","0.2","-1.0","-0.9","-1.4"
"0","Other Income/Expense,Net","0.8","-6.9","0.7","-27.0"
"0","Pre-Tax Income","78.3","70.2","84.0","60.7"
"0","Provision for Income Tax","23.5","17.8","23.2","41.7"
"0","Net Income","56.5","51.2","61.4","20.3"
"0","Dividend Per Share","1.10","1.24","1.33","1.40"
"0","Tax Rate"
"0","Basic EPS","4.27","3.84","4.64","1.53"
"1","Basic Weighted Average Shares","13.13","13.20","13.14","13.20"
"1","Basic EPS from Continuing Operations","4.27","3.84","4.64","1.53"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","4.26","3.84","4.63","1.52"
"1","Diluted Weighted Average Shares","13.15","13.21","13.16","13.25"
"1","Diluted EPS from Continuing Operations","4.26","3.84","4.63","1.52"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
