"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/28/2017","2/23/2018","2/23/2018","2/23/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","5,390.3","7,864.3","8,678.2","10,086.5"
"0","Cost of Revenue","4,567.0","6,688.6","7,376.8","8,570.4"
"0","Gross Profit","823.3","1,175.6","1,301.3","1,516.1"
"0","Selling,General and Administrative","529.4","771.4","855.7","993.6"
"1","General and Administrative Expense","482.8","701.5","774.3","900.3"
"1","Selling and Marketing Expense","46.7","69.9","81.4","93.3"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-1.9","-20.1","-14.0","-"
"0","Operating Expenses","589.6","852.8","949.0","1,107.1"
"0","Operating Income","233.8","322.9","352.4","409.0"
"0","Net Interest Income","-24.6","-39.0","-48.7","-74.1"
"0","Other Income/Expense,Net","1.3","-21.1","-20.1","12.2"
"0","Pre-Tax Income","210.5","262.7","283.5","347.1"
"0","Provision for Income Tax","75.0","79.7","86.5","101.9"
"0","Net Income","138.7","183.0","197.1","245.2"
"0","Dividend Per Share","0.61","0.76","0.95","1.06"
"0","Tax Rate","0.36","0.30","0.31","0.29"
"0","Basic EPS","5.31","6.96","7.76","9.78"
"1","Basic Weighted Average Shares","26.12","26.29","25.41","25.07"
"1","Basic EPS from Continuing Operations","5.19","6.96","7.76","9.78"
"1","Basic EPS,Continuing and Discontinued","0.12","0.00","0.00","0.00"
"0","Diluted EPS","5.26","6.91","7.72","9.75"
"1","Diluted Weighted Average Shares","26.38","26.49","25.52","25.15"
"1","Diluted EPS from Continuing Operations","5.14","6.91","7.72","9.75"
"1","Diluted EPS,Continuing and Discontinued","0.12","0.00","0.00","0.00"
