"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","10-Q","10-Q","NA"
"0","Stmt Source Date","11/8/2017","2/8/2018","5/8/2018","-"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","155.0","184.3","174.4","170.9"
"0","Cost of Revenue","87.3","96.9","107.3","104.4"
"0","Gross Profit","67.7","87.5","67.1","66.5"
"0","Selling,General and Administrative","19.0","28.5","14.1","20.6"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","7.4","10.7","2.7","8.3"
"0","Special Income/Charges","-0.5","-1.1","-16.9","-29.0"
"0","Operating Expenses","26.4","39.2","16.8","28.9"
"0","Operating Income","41.2","48.2","50.2","37.6"
"0","Net Interest Income","-20.9","-20.7","-22.8","-21.2"
"0","Other Income/Expense,Net","0.4","4.6","-16.9","-28.7"
"0","Pre-Tax Income","20.7","32.2","10.5","-12.2"
"0","Provision for Income Tax","7.4","18.1","-2.3","-0.9"
"0","Net Income","13.3","14.0","12.8","-11.4"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.36","0.40","0.37","0.27"
"0","Basic EPS","0.36","0.38","0.34","-0.31"
"1","Basic Weighted Average Shares","36.99","37.07","37.14","37.31"
"1","Basic EPS from Continuing Operations","0.36","0.38","0.34","-0.31"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.35","0.37","0.33","-0.31"
"1","Diluted Weighted Average Shares","37.73","38.29","38.29","38.31"
"1","Diluted EPS from Continuing Operations","0.35","0.37","0.33","-0.31"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
