"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","10-Q","NA","10-Q"
"0","Stmt Source Date","11/9/2017","2/5/2018","-","8/6/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code","USD","USD","USD","USD"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","87.6","168.5","16.6","78.4"
"0","Operating Gains/Losses","-3.6","-4.1","4.7","-10.4"
"1","Gain/Loss on Investment Securities","-3.6","-4.1","4.7","-10.4"
"0","Depreciation,Amortization and Depletion","18.2","17.9","18.4","17.5"
"0","Deferred Taxes","29.0","-218.2","25.5","21.8"
"0","Other Non-Cash Items","-0.2","0.1","-13.5","0.8"
"1","Asset Impairment Charge","0.0","195.0","0.0","-"
"1","Stock-Based Compensation","18.5","15.5","15.9","19.1"
"1","Excess Tax Benefit from Stock-Based Compensation","-","-","-","-"
"0","Change in Receivables","60.3","-46.4","13.1","32.1"
"0","Change in Inventories","-","-","-","-"
"0","Change in Pay/Accrued Exp","-21.7","24.6","-24.2","18.2"
"1","Change in Payables","-","-","-","-"
"2","Change In Account Payable","-","-","-","-"
"0","Change in Other Current Assets","5.7","-20.0","-9.1","-31.5"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","100.4","-1.5","77.3","-204.3"
"0","Cash Flow from Operating Activities","291.2","117.3","199.9","-102.2"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-7.5","-8.7","-12.8","-18.0"
"1","Purchase of Property,Plant and Equipment","-7.5","-8.7","-12.8","-18.0"
"0","Purchase/Sale of Business,Net","-","-0.7","0.0","-"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","3.4","2.1","1.4","3.7"
"1","Purchase of Investments","-","-","-","-"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","3.4","2.1","1.4","3.7"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","-","3.8","-12.5","-"
"0","Cash Flow from Investing Activities","-11.5","-3.4","-20.4","-14.3"
"0","Issuance/Payments of Debt,Net","-","225.5","-100.0","-"
"1","Issuance/Payments of LT Debt,Net","-","0.0","0.0","-"
"2","Payments to Settle Long Term Debt","-","-","-","-"
"0","Issuance/Payments of Common Stock,Net","-90.0","-299.5","0.0","-"
"1","Proceeds or Issuance of Long Term Debt","-","0.0","0.0","-"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-","225.5","-100.0","-"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-90.0","-299.5","0.0","-"
"1","Proceeds or Issuance of Common Stock","-","-","-","-"
"0","Cash Dividends Paid","-26.5","-28.4","-26.2","-24.6"
"1","Common Stock Dividends Paid","-26.5","-28.4","-26.2","-24.6"
"0","Other Financing Changes, Net","-0.2","6.2","-6.8","-10.5"
"0","Cash Flow from Financing Activities","-114.6","-94.8","-129.4","-30.1"
"0","Cash, Equivalents, Start of Period","511.2","654.2","680.3","773.8"
"0","Cash, Equivalents, End of Period","654.2","680.3","736.1","617.1"
"0","Change in Cash","165.2","19.1","50.1","-146.6"
"0","Free Cash Flow","283.8","108.6","187.1","-120.2"
"0","Effect of Exchange Rate Changes","-1.5","7.0","5.7","-10.1"
