"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/27/2017","2/26/2018","2/26/2018","2/26/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","495.9","437.7","374.6","427.5"
"0","Cost of Revenue","430.4","417.6","423.9","422.0"
"0","Gross Profit","65.5","20.0","-49.3","5.5"
"0","Selling,General and Administrative","39.0","49.8","40.2","35.0"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","4.4","-41.5","-9.7","-4.3"
"0","Operating Expenses","39.0","49.8","40.2","35.0"
"0","Operating Income","26.5","-29.8","-89.5","-29.5"
"0","Net Interest Income","-21.6","-7.4","-30.9","-37.3"
"0","Other Income/Expense,Net","4.4","-41.5","-9.7","-4.3"
"0","Pre-Tax Income","9.3","-78.7","-130.1","-71.1"
"0","Provision for Income Tax","4.3","-32.5","-42.0","-40.8"
"0","Net Income","19.6","-34.8","112.2","-29.2"
"0","Dividend Per Share","0.00","0.00","0.00","0.00"
"0","Tax Rate","0.40","0.32","0.40"
"0","Basic EPS","0.86","-1.67","2.54","-2.18"
"1","Basic Weighted Average Shares","22.58","22.76","25.45","27.25"
"1","Basic EPS from Continuing Operations","0.21","-2.17","-5.28","-2.22"
"1","Basic EPS,Continuing and Discontinued","0.65","0.50","7.82","0.04"
"0","Diluted EPS","0.85","-1.67","2.54","-2.18"
"1","Diluted Weighted Average Shares","22.75","22.76","25.45","27.25"
"1","Diluted EPS from Continuing Operations","0.21","-2.17","-5.28","-2.22"
"1","Diluted EPS,Continuing and Discontinued","0.64","0.50","7.82","0.04"
