"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/8/2017","-","5/4/2018","8/6/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","77.2","78.0","98.6","117.3"
"0","Cost of Revenue","19.0","18.9","23.8","28.5"
"0","Gross Profit","58.2","59.1","74.8","88.8"
"0","Selling,General and Administrative","48.0","49.6","60.1","71.7"
"1","General and Administrative Expense","-","-","-","-"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","0.0","0.1","-","-"
"0","Operating Expenses","48.0","49.6","60.1","71.7"
"0","Operating Income","10.2","9.5","14.7","17.1"
"0","Net Interest Income","0.1","0.2","0.2","0.3"
"0","Other Income/Expense,Net","0.0","0.1","0.0","0.2"
"0","Pre-Tax Income","10.4","9.8","14.9","17.6"
"0","Provision for Income Tax","3.7","2.5","2.7","3.5"
"0","Net Income","6.7","7.3","12.2","14.1"
"0","Dividend Per Share","0.32","0.48","0.48","0.48"
"0","Tax Rate","0.34","0.31","0.27","0.23"
"0","Basic EPS","0.56","0.61","1.02","1.17"
"1","Basic Weighted Average Shares","11.93","11.94","12.03","12.04"
"1","Basic EPS from Continuing Operations","0.56","0.61","1.02","1.17"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","-","-"
"0","Diluted EPS","0.55","0.60","1.01","1.16"
"1","Diluted Weighted Average Shares","12.10","12.16","12.14","12.17"
"1","Diluted EPS from Continuing Operations","0.55","0.60","1.01","1.16"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","-","-"
