"0","Period End Date","3/31/2015","3/31/2016","3/31/2017","3/31/2018"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","5/26/2017","5/30/2018","5/30/2018","5/30/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","16,802.1","11,742.1","13,022.2","17,282.7"
"0","Cost of Revenue","15,958.2","10,839.0","12,321.9","16,536.0"
"0","Gross Profit","843.9","903.1","700.3","746.7"
"0","Selling,General and Administrative","513.6","540.7","424.5","440.3"
"1","General and Administrative Expense","-","540.7","424.5","440.3"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","8.3","-292.2","233.9","82.1"
"0","Operating Expenses","707.5","686.9","654.4","713.7"
"0","Operating Income","136.3","216.2","45.9","32.9"
"0","Net Interest Income","-110.1","-133.1","-150.5","-199.6"
"0","Other Income/Expense,Net","20.4","-270.5","250.4","98.5"
"0","Pre-Tax Income","46.6","-187.5","145.8","-68.1"
"0","Provision for Income Tax","-3.6","-0.4","1.9","1.5"
"0","Net Income","37.3","-198.9","137.0","-70.9"
"0","Dividend Per Share","2.33","2.54","1.56","1.56"
"0","Tax Rate","0.14","0.00","0.01","0.02"
"0","Basic EPS","-0.05","-2.35","0.99","-1.08"
"1","Basic Weighted Average Shares","86.36","104.84","108.09","120.99"
"1","Basic EPS from Continuing Operations","-0.05","-2.35","0.99","-1.08"
"1","Basic EPS,Continuing and Discontinued","0.00","-","-","-"
"0","Diluted EPS","-0.05","-2.35","0.95","-1.08"
"1","Diluted Weighted Average Shares","86.36","104.84","111.85","120.99"
"1","Diluted EPS from Continuing Operations","-0.05","-2.35","0.95","-1.08"
"1","Diluted EPS,Continuing and Discontinued","0.00","-","-","-"
