"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","11/8/2017","-","5/10/2018","8/8/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","245.1","244.0","266.5","271.3"
"0","Cost of Revenue","197.1","198.9","214.1","216.2"
"0","Gross Profit","48.0","45.1","52.4","55.1"
"0","Selling,General and Administrative","18.2","26.2","27.6","26.2"
"1","General and Administrative Expense","18.2","26.2","27.6","26.2"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-0.9","-0.4","-","-32.3"
"0","Operating Expenses","18.1","25.6","28.3","27.1"
"0","Operating Income","29.9","19.5","24.1","28.0"
"0","Net Interest Income","-3.2","-3.2","-3.3","-3.3"
"0","Other Income/Expense,Net","-0.9","-0.4","-","-32.3"
"0","Pre-Tax Income","25.8","15.9","20.8","-7.6"
"0","Provision for Income Tax","7.0","-3.0","4.6","-2.8"
"0","Net Income","18.8","18.9","16.2","-4.8"
"0","Dividend Per Share","0.37","0.37","0.41","0.41"
"0","Tax Rate","0.27","0.12","0.22","0.37"
"0","Basic EPS","1.11","1.11","0.96","-0.29"
"1","Basic Weighted Average Shares","16.81","16.84","16.85","16.83"
"1","Basic EPS from Continuing Operations","1.11","1.11","0.95","-0.29"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.01","-"
"0","Diluted EPS","1.10","1.10","0.95","-0.29"
"1","Diluted Weighted Average Shares","16.97","17.11","17.01","16.83"
"1","Diluted EPS from Continuing Operations","1.10","1.10","0.95","-0.29"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","-"
