"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","2/24/2017","3/1/2018","3/1/2018","3/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Net Income","-","-","-","-"
"1","Net Income from Continuing Operations","428.3","231.0","24.6","166.4"
"0","Operating Gains/Losses","-1.2","4.9","0.4","0.2"
"1","Gain/Loss on Investment Securities","-","-","-","-"
"0","Depreciation,Amortization and Depletion","229.8","241.2","250.2","213.5"
"0","Deferred Taxes","70.7","29.1","0.1","-235.0"
"0","Other Non-Cash Items","-","-","-","-"
"1","Asset Impairment Charge","-","26.0","30.5","-"
"1","Stock-Based Compensation","20.0","17.3","14.7","11.5"
"1","Excess Tax Benefit from Stock-Based Compensation","-","-","-","-"
"0","Change in Receivables","-8.5","178.8","123.0","13.1"
"0","Change in Inventories","66.3","33.2","17.8","65.5"
"0","Change in Pay/Accrued Exp","-59.1","-87.5","-154.2","-81.8"
"1","Change in Payables","-59.1","-87.5","-154.2","-81.8"
"2","Change In Account Payable","-43.5","-41.6","-115.2","-76.3"
"0","Change in Other Current Assets","-11.2","-65.8","53.9","-38.2"
"0","Change in Other Current Liabilities","-","-","-","-"
"0","Change in Other Working Capital","-13.4","-44.4","-21.7","21.2"
"0","Cash Flow from Operating Activities","721.8","563.9","339.4","136.5"
"0","Purchase/Sale of Prop,Plant,Equip: Net","-384.5","-199.6","-106.7","-91.9"
"1","Purchase of Property,Plant and Equipment","-386.9","-200.0","-112.4","-93.7"
"0","Purchase/Sale of Business,Net","-39.8","-224.0","-30.1","-11.3"
"1","Purchase/Acquisition of Business","-","-","-","-"
"0","Purchase/Sale of Investments,Net","-","-19.5","-39.1","-11.5"
"1","Purchase of Investments","-","-19.5","-39.1","-11.5"
"2","Purchase of Long Term Investments","-","-","-","-"
"0","Sale of Investments","-","-","-","-"
"1","Sale of Long Term Investments","-","-","-","-"
"0","Other Investing Changes,Net","-","-","-","-"
"0","Cash Flow from Investing Activities","-419.5","-437.2","-169.5","-112.0"
"0","Issuance/Payments of Debt,Net","741.6","49.7","-","-"
"1","Issuance/Payments of LT Debt,Net","741.6","49.7","-","-"
"2","Payments to Settle Long Term Debt","-","-","-","-"
"0","Issuance/Payments of Common Stock,Net","-590.4","-100.5","-","-"
"1","Proceeds or Issuance of Long Term Debt","741.6","49.7","-","-"
"1","Proceeds or Issuance of Short Term Debt","-","-","-","-"
"1","Issuance/Payments of ST Debt,Net","-","-","-","-"
"2","Payments to Settle Short Term Debt","-","-","-","-"
"1","Payments for Common Stock","-590.4","-100.5","-","-"
"1","Proceeds or Issuance of Common Stock","-","-","-","-"
"0","Cash Dividends Paid","-109.7","-106.5","-94.1","-44.2"
"1","Common Stock Dividends Paid","-109.7","-106.5","-94.1","-44.2"
"0","Other Financing Changes, Net","3.9","-3.2","-1.9","-1.7"
"0","Cash Flow from Financing Activities","45.4","-160.4","-96.1","-45.9"
"0","Cash, Equivalents, Start of Period","91.4","430.7","385.2","450.2"
"0","Cash, Equivalents, End of Period","430.7","385.2","450.2","430.3"
"0","Change in Cash","347.7","-33.8","73.9","-21.5"
"0","Free Cash Flow","334.9","363.9","227.0","42.8"
"0","Effect of Exchange Rate Changes","-8.4","-11.7","-9.0","1.6"
