"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","10-Q","NA","10-Q","10-Q"
"0","Stmt Source Date","10/26/2017","-","4/27/2018","7/27/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","5,524.4","5,398.0","5,746.9","5,940.3"
"0","Cost of Revenue","4,701.8","4,589.7","4,882.5","5,050.5"
"0","Gross Profit","822.6","808.3","864.4","889.8"
"0","Selling,General and Administrative","646.1","646.2","663.1","675.4"
"1","General and Administrative Expense","616.7","617.9","634.1","645.2"
"1","Selling and Marketing Expense","29.4","28.3","29.0","30.2"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","670.4","671.3","688.7","701.1"
"0","Operating Income","152.2","137.0","175.7","188.7"
"0","Net Interest Income","-44.2","-46.0","-48.7","-48.5"
"0","Other Income/Expense,Net","30.9","36.7","17.3","36.0"
"0","Pre-Tax Income","138.9","127.7","144.3","176.2"
"0","Provision for Income Tax","44.7","-200.8","36.6","41.0"
"0","Net Income","94.4","330.1","108.1","134.6"
"0","Dividend Per Share","0.32","0.33","0.34","0.35"
"0","Tax Rate","0.31","0.12","0.12","0.13"
"0","Basic EPS","1.10","3.84","1.26","1.59"
"1","Basic Weighted Average Shares","85.90","85.81","86.00","84.90"
"1","Basic EPS from Continuing Operations","1.10","3.84","1.26","1.59"
"1","Basic EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
"0","Diluted EPS","1.10","3.84","1.26","1.58"
"1","Diluted Weighted Average Shares","86.00","85.81","86.00","85.00"
"1","Diluted EPS from Continuing Operations","1.10","3.84","1.26","1.58"
"1","Diluted EPS,Continuing and Discontinued","0.00","0.00","0.00","0.00"
