"0","Period End Date","9/30/2017","12/31/2017","3/31/2018","6/30/2018"
"0","Stmt Source","6-K","NA","6-K","6-K"
"0","Stmt Source Date","10/23/2017","-","4/23/2018","7/23/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","4,803.2","6,140.7","4,564.7","4,965.3"
"0","Cost of Revenue","2,584.6","3,174.0","2,496.6","2,642.5"
"0","Gross Profit","2,218.7","2,966.7","2,068.1","2,322.9"
"0","Selling,General and Administrative","1,366.4","1,600.3","1,356.0","1,527.3"
"1","General and Administrative Expense","155.2","169.1","150.5","181.8"
"1","Selling and Marketing Expense","1,211.2","1,431.2","1,205.4","1,345.5"
"0","Research and Development","522.2","533.8","501.4","492.1"
"0","Special Income/Charges","0.0","-","-","-"
"0","Operating Expenses","1,871.3","2,139.9","1,834.2","1,977.8"
"0","Operating Income","347.4","826.8","233.9","345.1"
"0","Net Interest Income","-40.5","-10.4","-92.6","-56.7"
"0","Other Income/Expense,Net","4.6","8.1","-","1.2"
"0","Pre-Tax Income","311.5","824.5","141.3","289.5"
"0","Provision for Income Tax","5.8","274.4","32.4","73.0"
"0","Net Income","364.8","995.8","144.7","2.3"
"0","Dividend Per Share","0.00","0.00","0.00","0.95"
"0","Tax Rate","0.2779104","0.2894900","0.2779104","0.2894900"
"0","Basic EPS","0.39","1.07","0.16","0.23"
"1","Basic Weighted Average Shares","1,085.61","1,080.06","1,067.40","1,061.90"
"1","Basic EPS from Continuing Operations","0.32","0.32","0.12","0.23"
"1","Basic EPS,Continuing and Discontinued","0.07","0.75","0.03","-0.23"
"0","Diluted EPS","0.38","1.04","0.15","0.23"
"1","Diluted Weighted Average Shares","1,101.52","1,103.84","1,088.28","1,076.01"
"1","Diluted EPS from Continuing Operations","0.32","0.31","0.12","0.23"
"1","Diluted EPS,Continuing and Discontinued","0.06","0.73","0.03","-0.23"
