"0","Period End Date","6/27/2015","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","5/22/2017","5/22/2017","5/22/2017","3/1/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","4,227.1","2,632.2","5,280.6","4,946.2"
"0","Cost of Revenue","2,582.9","1,553.3","3,228.8","2,966.7"
"0","Gross Profit","1,644.2","1,078.9","2,051.8","1,979.5"
"0","Selling,General and Administrative","704.3","632.7","1,117.2","1,059.5"
"1","General and Administrative Expense","385.3","306.8","452.2","461.1"
"1","Selling and Marketing Expense","319.0","325.9","665.0","598.4"
"0","Research and Development","187.8","88.2","184.0","167.7"
"0","Special Income/Charges","-346.1","-267.7","-2,684.7","-98.4"
"0","Operating Expenses","959.8","768.8","1,389.5","1,272.8"
"0","Operating Income","684.4","310.1","662.3","706.7"
"0","Net Interest Income","-156.5","-90.8","-217.7","-303.3"
"0","Other Income/Expense,Net","-267.6","-210.4","-5,292.9","-123.3"
"0","Pre-Tax Income","260.3","8.9","-4,848.3","280.1"
"0","Provision for Income Tax","124.2","-33.6","-835.5","160.5"
"0","Net Income","136.1","42.5","-4,012.8","119.6"
"0","Dividend Per Share","0.46","-","0.58","0.64"
"0","Tax Rate","0.48","3.76","0.17","0.57"
"0","Basic EPS","0.97","0.29","-28.01","0.84"
"1","Basic Weighted Average Shares","139.30","145.60","143.30","142.30"
"1","Basic EPS from Continuing Operations","0.97","0.29","-28.01","0.84"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.97","0.29","-28.01","0.84"
"1","Diluted Weighted Average Shares","139.80","146.10","143.30","142.60"
"1","Diluted EPS from Continuing Operations","0.97","0.29","-28.01","0.84"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
