"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","40-F","40-F","40-F","40-F"
"0","Stmt Source Date","3/29/2016","3/31/2017","3/29/2018","3/29/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","-","-","0.0","177.9"
"0","Cost of Revenue","-","-","0.0","125.1"
"0","Gross Profit","-","-","0.0","52.9"
"0","Selling,General and Administrative","5.5","8.9","13.8","18.7"
"1","General and Administrative Expense","5.5","8.9","13.8","18.7"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-","0.0","-","-"
"0","Operating Expenses","7.8","11.5","14.2","19.3"
"0","Operating Income","-7.8","-11.5","-14.2","33.6"
"0","Net Interest Income","0.3","0.2","1.1","-29.7"
"0","Other Income/Expense,Net","0.3","15.2","-67.9","-25.8"
"0","Pre-Tax Income","-7.1","3.9","-81.0","-21.9"
"0","Provision for Income Tax","3.6","4.3","-19.8","-5.4"
"0","Net Income","-10.7","-0.4","-61.2","-16.5"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.25","0.27","0.24","0.25"
"0","Basic EPS","-0.09","0.00","-0.35","-0.09"
"1","Basic Weighted Average Shares","111.31","135.20","172.81","181.21"
"1","Basic EPS from Continuing Operations","-0.09","0.00","-0.35","-0.09"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","-0.09","0.00","-0.35","-0.09"
"1","Diluted Weighted Average Shares","111.31","135.20","172.81","181.21"
"1","Diluted EPS from Continuing Operations","-0.09","0.00","-0.35","-0.09"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
