"0","Period End Date","12/31/2014","12/31/2015","12/31/2016","12/31/2017"
"0","Stmt Source","10-K","10-K","10-K","10-K"
"0","Stmt Source Date","3/1/2017","2/28/2018","2/28/2018","2/28/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","217.8","311.1","402.4","446.5"
"0","Cost of Revenue","134.9","196.0","270.1","306.1"
"0","Gross Profit","82.9","115.0","132.2","140.4"
"0","Selling,General and Administrative","45.3","67.8","83.3","87.2"
"1","General and Administrative Expense","45.3","67.8","83.3","87.2"
"1","Selling and Marketing Expense","-","-","-","-"
"0","Research and Development","-","-","-","-"
"0","Special Income/Charges","-1.3","-0.5","-0.2","-20.0"
"0","Operating Expenses","46.3","79.1","94.2","98.3"
"0","Operating Income","36.6","36.0","38.1","42.1"
"0","Net Interest Income","-15.3","-21.3","-23.2","-30.5"
"0","Other Income/Expense,Net","-2.2","-0.6","-0.2","-20.0"
"0","Pre-Tax Income","19.1","14.1","14.7","-8.3"
"0","Provision for Income Tax","0.0","-10.1","-10.0","-9.8"
"0","Net Income","15.1","20.3","21.5","1.3"
"0","Dividend Per Share","1.16","1.28","1.44","1.56"
"0","Tax Rate","0.00","0.35","0.47","0.65"
"0","Basic EPS","0.52","0.54","0.47","0.01"
"1","Basic Weighted Average Shares","29.05","37.57","46.21","48.38"
"1","Basic EPS from Continuing Operations","0.52","0.54","0.47","0.01"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.51","0.53","0.46","0.01"
"1","Diluted Weighted Average Shares","37.13","45.35","53.96","55.86"
"1","Diluted EPS from Continuing Operations","0.51","0.53","0.46","0.01"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
