"0","Period End Date","8/31/2017","11/30/2017","2/28/2018","5/31/2018"
"0","Stmt Source","10-Q","10-Q","NA","10-Q"
"0","Stmt Source Date","10/5/2017","1/8/2018","-","7/9/2018"
"0","Stmt Update Type","-","-","-","-"
"0","Currency Code"
"0","Total Revenue","723.4","748.0","772.3","813.5"
"0","Cost of Revenue","106.7","111.8","112.6","122.7"
"0","Gross Profit","616.6","636.2","659.7","690.8"
"0","Selling,General and Administrative","340.3","372.2","374.1","412.2"
"1","General and Administrative Expense","61.7","63.8","58.9","63.4"
"1","Selling and Marketing Expense","278.5","308.4","315.2","348.8"
"0","Research and Development","141.8","145.6","153.8","166.5"
"0","Special Income/Charges","-","-","-","-"
"0","Operating Expenses","482.1","517.8","527.8","578.7"
"0","Operating Income","134.6","118.4","131.9","112.2"
"0","Net Interest Income","-1.5","-1.3","-1.2","1.5"
"0","Other Income/Expense,Net","-1.3","-1.2","11.4","-2.2"
"0","Pre-Tax Income","131.8","115.9","142.0","111.5"
"0","Provision for Income Tax","35.0","14.6","154.6","-1.7"
"0","Net Income","96.9","101.3","-12.6","113.2"
"0","Dividend Per Share","-","-","-","-"
"0","Tax Rate","0.27","0.13","0.27","0.02"
"0","Basic EPS","0.55","0.57","-0.07","0.64"
"1","Basic Weighted Average Shares","177.26","177.06","177.04","177.30"
"1","Basic EPS from Continuing Operations","0.55","0.57","-0.07","0.64"
"1","Basic EPS,Continuing and Discontinued","-","-","-","-"
"0","Diluted EPS","0.53","0.54","-0.08","0.59"
"1","Diluted Weighted Average Shares","183.02","186.16","188.22","190.74"
"1","Diluted EPS from Continuing Operations","0.53","0.54","-0.08","0.59"
"1","Diluted EPS,Continuing and Discontinued","-","-","-","-"
